spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
b38b697d55c54682ab54a7e5f246a1e8,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""0e2537960ceb49c48bc0a204069185e6""
    },
    {
      ""id"": ""383d8b06bd7d4e829f698700b7bc921e""
    },
    {
      ""id"": ""4e029e25ec96483781cc62cbc30a3fe9""
    },
    {
      ""id"": ""ceb52860f001487b866a072acee21fbc""
    },
    {
      ""id"": ""9c18abff0611494baeb806905183e4b0""
    },
    {
      ""id"": ""2b97f1c2d91540e3b2197e41ac654ce1""
    },
    {
      ""id"": ""53e6eebea0a443ab912561da92be6bf3""
    },
    {
      ""id"": ""22c1c2cb48744385b4cce9a31afd94be""
    },
    {
      ""id"": ""4745f032b61e4a79845f59ed27d8a6be""
    },
    {
      ""id"": ""242d7651f9e14ba9b7e60a4d5d0f1800""
    },
    {
      ""id"": ""b2e621781e3a4309accfcfd9469c0224""
    },
    {
      ""id"": ""604c08e76aa24449aea70446fbc6c9a7""
    },
    {
      ""id"": ""0a0905c7167941169bb90b037d6f29d6""
    },
    {
      ""id"": ""e8f51596fb9741f39355dd1a76934413""
    },
    {
      ""id"": ""556d17687bbb43ed8e1c4ee480cf3655""
    },
    {
      ""id"": ""840531e5ede24d86995e3cef4020b1e3""
    },
    {
      ""id"": ""adefb40916934efbb61884ee18b3bd99""
    },
    {
      ""id"": ""17cf18fe17b84aeea4e45576f91313e2""
    },
    {
      ""id"": ""cce36be3ae5b455fba3a3dc5afb0f3b9""
    },
    {
      ""id"": ""07fda0e333fa4ffc8f248ca1e74a4bc3""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""0e2537960ceb49c48bc0a204069185e6""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""ceb52860f001487b866a072acee21fbc""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""9c18abff0611494baeb806905183e4b0""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""adefb40916934efbb61884ee18b3bd99""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""cce36be3ae5b455fba3a3dc5afb0f3b9""
    },
    {
      ""source"": ""ceb52860f001487b866a072acee21fbc"",
      ""target"": ""2b97f1c2d91540e3b2197e41ac654ce1""
    },
    {
      ""source"": ""ceb52860f001487b866a072acee21fbc"",
      ""target"": ""53e6eebea0a443ab912561da92be6bf3""
    },
    {
      ""source"": ""ceb52860f001487b866a072acee21fbc"",
      ""target"": ""4745f032b61e4a79845f59ed27d8a6be""
    },
    {
      ""source"": ""9c18abff0611494baeb806905183e4b0"",
      ""target"": ""22c1c2cb48744385b4cce9a31afd94be""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
0734fb4dbbf34663a3b16253fb749c1f,,"{""time_stamp"": ""06-13-2024 at 12:38:01 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""DV"", ""concept"": ""engagement in extramatital affairs"", ""final_columns_derived_spec_ids"": [""ROOT_SPEC_ID"", ""0e2537960ceb49c48bc0a204069185e6""], ""final_columns_orig"": [""\ud83d\udfe8 affairs""], ""final_columns_derived"": [""\ud83d\udfe9 affair_binary""], ""final_columns_leaf_spec_ids"": [""0e2537960ceb49c48bc0a204069185e6""], ""column_rationales"": {""\ud83d\udfe8 affairs"": ""categorical variable that indicate how often engaged with affairs"", ""\ud83d\udfe9 affair_binary"": ""binary variable that indicate how often engaged with affairs""}, ""interaction"": false, ""rationale"": ""RQ asks about: Does having children decrease (if at all) the engagement in extramarital affairs? we can use the survey response where the numerical values captures the relative engagement, e,g, 3 > 0"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
0e2537960ceb49c48bc0a204069185e6,,,"{""time_stamp"": ""06-02-2024 at 09:29:54 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""convert the affair count variable to binary for logistic regression "", ""spec_name"": ""affairs_binary"", ""trans_verb"": [""derive""], ""code"": ""df['affair_binary'] = (df['affairs'] > 0).astype(int)"", ""rationale"": ""we can convert the affair count to binary to focus on how likely the person is going to get at least 1 affair. this can simplify the data/ question/ "", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""affairs""], ""affair_binary""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}]}",,,,
ebf0af1d299243a09e5466c3d1e82484,,"{""time_stamp"": ""06-13-2024 at 12:43:15 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""have children"", ""final_columns_derived_spec_ids"": [""ROOT_SPEC_ID"", ""9c18abff0611494baeb806905183e4b0""], ""final_columns_orig"": [""\ud83d\udfe8 children""], ""final_columns_derived"": [""\ud83d\udfe9 children_yes""], ""final_columns_leaf_spec_ids"": [""9c18abff0611494baeb806905183e4b0""], ""column_rationales"": {""\ud83d\udfe8 affairs"": ""categorical variable that indicate how often engaged with affairs"", ""\ud83d\udfe8 children"": ""binary variable indicating if the person has children "", ""\ud83d\udfe9 children_yes"": ""binary version with 0/1""}, ""interaction"": false, ""rationale"": ""RQ asks about: Does having children decrease (if at all) the engagement in extramarital affairs? we can use the survey response directly "", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
94e9fdf25c0f476eba86bd809e0c2a8f,,"{""time_stamp"": ""06-13-2024 at 01:04:25 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Gender"", ""final_columns_derived_spec_ids"": [""53e6eebea0a443ab912561da92be6bf3"", ""ceb52860f001487b866a072acee21fbc"", ""ROOT_SPEC_ID"", ""2b97f1c2d91540e3b2197e41ac654ce1"", ""4745f032b61e4a79845f59ed27d8a6be""], ""final_columns_orig"": [""\ud83d\udfe8 gender""], ""final_columns_derived"": [""\ud83d\udfe9 gender_male"", ""\ud83d\udfe9 gender_age_interaction"", ""\ud83d\udfe9 gender_education_interaction"", ""\ud83d\udfe9 gender_occupation_interaction""], ""final_columns_leaf_spec_ids"": [""ceb52860f001487b866a072acee21fbc"", ""2b97f1c2d91540e3b2197e41ac654ce1"", ""53e6eebea0a443ab912561da92be6bf3"", ""4745f032b61e4a79845f59ed27d8a6be""], ""column_rationales"": {""\ud83d\udfe8 gender"": ""gender of the person taking the survey "", ""\ud83d\udfe9 gender_male"": ""binary version "", ""\ud83d\udfe9 gender_age_interaction"": ""interaction between gender and age"", ""\ud83d\udfe9 gender_education_interaction"": ""interaction between gender and education "", ""\ud83d\udfe9 gender_occupation_interaction"": ""interaction between gender and  occupation""}, ""interaction"": true, ""rationale"": ""Different gender may have different tendency of having affairs. we want to control for it. "", ""on"": ""age, education, occupation"", ""random_effect"": false, ""annotator"": null}",,,,,
9d3792cfdd3d4301831c5265261b6868,,"{""time_stamp"": ""06-13-2024 at 01:57:21 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""age"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 age""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 age"": ""age of the person""}, ""interaction"": false, ""rationale"": ""age of the person might affect the tendency of having affairs "", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
ac67da3d46fe43e1b2b6df86378e51ce,,"{""time_stamp"": ""06-13-2024 at 01:57:40 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""years of marriage"", ""final_columns_derived_spec_ids"": [""22c1c2cb48744385b4cce9a31afd94be"", ""cce36be3ae5b455fba3a3dc5afb0f3b9"", ""9c18abff0611494baeb806905183e4b0"", ""ROOT_SPEC_ID""], ""final_columns_orig"": [""\ud83d\udfe8 yearsmarried""], ""final_columns_derived"": [""\ud83d\udfe9 children_yearsmarried_interaction"", ""\ud83d\udfe9 log_yearsmarried""], ""final_columns_leaf_spec_ids"": [""22c1c2cb48744385b4cce9a31afd94be"", ""cce36be3ae5b455fba3a3dc5afb0f3b9""], ""column_rationales"": {""\ud83d\udfe8 yearsmarried"": ""years of marriage"", ""\ud83d\udfe9 children_yearsmarried_interaction"": ""years of married may have interaction with children"", ""\ud83d\udfe9 log_yearsmarried"": ""log of years married""}, ""interaction"": true, ""rationale"": ""how many years have they get married  might affect the tendency of having affairs"", ""on"": ""Children"", ""random_effect"": false, ""annotator"": null}",,,,,
138563c6fc144da9810dd1fba977696f,,"{""time_stamp"": ""06-02-2024 at 07:28:40 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""occupation"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 occupation""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 occupation"": ""occupation of the person""}, ""interaction"": false, ""rationale"": ""occupation might influence the likelihood of having affairs"", ""on"": """", ""random_effect"": false}",,,,,
54573bfb8e974a3db444c26b8e26721a,,"{""time_stamp"": ""06-02-2024 at 07:30:12 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""satisfaction with marriage"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 rating""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 rating"": ""this is a numerical rating that evaluate the satisfaction with marriage""}, ""interaction"": false, ""rationale"": ""if the person is not satisfied with marriage, they are more likely to have affairs. we need to control for these"", ""on"": """", ""random_effect"": false}",,,,,
