spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
8cd96d2dc6a04ff7a76b0c2c970008cd,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""b67ed9caf96a41ed961c739bc9b8199e""
    },
    {
      ""id"": ""56efef418e2e404ba53ffb5c12e19aa7""
    },
    {
      ""id"": ""1e7a518108bd4391a3e3c8f3f71e01a7""
    },
    {
      ""id"": ""7e8bf09d5d8b49fe9357b852ece18cce""
    },
    {
      ""id"": ""b45c42e9a52c472b90f42b35fcd8a777""
    },
    {
      ""id"": ""3934c6ab265744b88bda1d8059356ba4""
    },
    {
      ""id"": ""4fb3f76c54f1451cbcee9b936a959e2e""
    },
    {
      ""id"": ""5a62e87744d644abad88f93613ca9f0e""
    },
    {
      ""id"": ""48895f47533c44b2ad71e2aac9c4ffa3""
    },
    {
      ""id"": ""cd20bdca415944c1bed053ca628b7e1d""
    },
    {
      ""id"": ""cc6d9c6f9dae4b678625fe406d695463""
    },
    {
      ""id"": ""57080380684246b896467ec5e6b0bf5e""
    },
    {
      ""id"": ""ea89a1bef4304878b13fde06c2120764""
    },
    {
      ""id"": ""7686eb76094d4b57b65fca9577d3bd79""
    },
    {
      ""id"": ""333e4a92588a4d0db24659825cec159c""
    },
    {
      ""id"": ""470def9185454f7b8d01800ea2690bed""
    },
    {
      ""id"": ""1e7c202244904cdea043147439659ff1""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""b67ed9caf96a41ed961c739bc9b8199e""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""cc6d9c6f9dae4b678625fe406d695463""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""57080380684246b896467ec5e6b0bf5e""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""ea89a1bef4304878b13fde06c2120764""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""7686eb76094d4b57b65fca9577d3bd79""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""cd20bdca415944c1bed053ca628b7e1d""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""1e7a518108bd4391a3e3c8f3f71e01a7""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""56efef418e2e404ba53ffb5c12e19aa7""
    },
    {
      ""source"": ""1e7a518108bd4391a3e3c8f3f71e01a7"",
      ""target"": ""7e8bf09d5d8b49fe9357b852ece18cce""
    },
    {
      ""source"": ""1e7a518108bd4391a3e3c8f3f71e01a7"",
      ""target"": ""56efef418e2e404ba53ffb5c12e19aa7""
    },
    {
      ""source"": ""7e8bf09d5d8b49fe9357b852ece18cce"",
      ""target"": ""b45c42e9a52c472b90f42b35fcd8a777""
    },
    {
      ""source"": ""b45c42e9a52c472b90f42b35fcd8a777"",
      ""target"": ""3934c6ab265744b88bda1d8059356ba4""
    },
    {
      ""source"": ""b45c42e9a52c472b90f42b35fcd8a777"",
      ""target"": ""48895f47533c44b2ad71e2aac9c4ffa3""
    },
    {
      ""source"": ""cd20bdca415944c1bed053ca628b7e1d"",
      ""target"": ""7e8bf09d5d8b49fe9357b852ece18cce""
    },
    {
      ""source"": ""cd20bdca415944c1bed053ca628b7e1d"",
      ""target"": ""1e7a518108bd4391a3e3c8f3f71e01a7""
    },
    {
      ""source"": ""cd20bdca415944c1bed053ca628b7e1d"",
      ""target"": ""56efef418e2e404ba53ffb5c12e19aa7""
    },
    {
      ""source"": ""57080380684246b896467ec5e6b0bf5e"",
      ""target"": ""1e7a518108bd4391a3e3c8f3f71e01a7""
    },
    {
      ""source"": ""57080380684246b896467ec5e6b0bf5e"",
      ""target"": ""56efef418e2e404ba53ffb5c12e19aa7""
    },
    {
      ""source"": ""7686eb76094d4b57b65fca9577d3bd79"",
      ""target"": ""333e4a92588a4d0db24659825cec159c""
    },
    {
      ""source"": ""7686eb76094d4b57b65fca9577d3bd79"",
      ""target"": ""56efef418e2e404ba53ffb5c12e19aa7""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
b67ed9caf96a41ed961c739bc9b8199e,,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Apply dummy encoding to the tooth class"", ""spec_name"": ""encode_tooth_class"", ""trans_verb"": [""derive""], ""code"": ""df = pd.get_dummies(df, columns=['tooth_class'])"", ""rationale"": ""Apply dummy encoding to the tooth class"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""tooth_class""], ""tooth_class_Anterior""], [[""tooth_class""], ""tooth_class_Posterior""], [[""tooth_class""], ""tooth_class_Premolar""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}]}",,,,
56efef418e2e404ba53ffb5c12e19aa7,,,"{""time_stamp"": ""08-13-2024 at 06:10:08 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Convert number of AMTL larger or equal to 1 as  1"", ""spec_name"": ""derive_num_amtl_01"", ""trans_verb"": [""derive""], ""code"": ""df['num_amtl_01'] = df['num_amtl'].apply(lambda x: 1 if x >= 1 else 0)"", ""rationale"": ""Convert it to 0 or 1 for logistic regression model"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""num_amtl""], ""num_amtl_01""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}, {""dependencies"": [""1e7a518108bd4391a3e3c8f3f71e01a7""], ""condition"": """"}, {""dependencies"": [""cd20bdca415944c1bed053ca628b7e1d""], ""condition"": """"}, {""dependencies"": [""57080380684246b896467ec5e6b0bf5e""], ""condition"": """"}, {""dependencies"": [""7686eb76094d4b57b65fca9577d3bd79""], ""condition"": """"}], ""annotator"": null}",,,,
1e7a518108bd4391a3e3c8f3f71e01a7,,,"{""time_stamp"": ""08-13-2024 at 06:07:35 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""filter age above 55"", ""spec_name"": ""filter_age"", ""trans_verb"": [""filter""], ""code"": ""df = df[df['age'] <= 55]"", ""rationale"": ""Filter the outliers of age"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""age""], """"]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}, {""dependencies"": [""cd20bdca415944c1bed053ca628b7e1d""], ""condition"": """"}, {""dependencies"": [""57080380684246b896467ec5e6b0bf5e""], ""condition"": """"}], ""annotator"": null}",,,,
7e8bf09d5d8b49fe9357b852ece18cce,,,"{""time_stamp"": ""06-13-2024 at 09:42:15 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Derive gender through estimate of sex"", ""spec_name"": ""derive_gender"", ""trans_verb"": [""derive""], ""code"": ""df['gender'] = df['prob_male'].apply(lambda x: 1 if x >= 0.5 else 0)"", ""rationale"": ""Classify probability higher or equal to 0.5 as male and the rest as female"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""prob_male""], ""gender""]], ""branches"": [{""dependencies"": [""1e7a518108bd4391a3e3c8f3f71e01a7""], ""condition"": """"}, {""dependencies"": [""cd20bdca415944c1bed053ca628b7e1d""], ""condition"": """"}], ""annotator"": null}",,,,
b45c42e9a52c472b90f42b35fcd8a777,,,"{""time_stamp"": ""06-13-2024 at 09:42:15 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Classify genus as 0 or 1"", ""spec_name"": ""map_genus_to_01"", ""trans_verb"": [""derive""], ""code"": ""def map_genus_to_01(genus):\n    if genus in ['Papio', 'Pan', 'Pongo']:\n        return 0\n    elif genus == 'Homo sapiens':\n        return 1\n\ndf['genus_01'] = df['genus'].apply(map_genus_to_01)"", ""rationale"": ""Classify 'Homo sapiens' as 1 and 'Papio', 'Pan', 'Pongo' as 0"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""genus""], ""genus_01""]], ""branches"": [{""dependencies"": [""7e8bf09d5d8b49fe9357b852ece18cce""], ""condition"": """"}], ""annotator"": null}",,,,
3934c6ab265744b88bda1d8059356ba4,,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Classify specimen origination to three categories"", ""spec_name"": ""map_pop_to_class"", ""trans_verb"": [""derive""], ""code"": ""def map_pop_to_class(pop):\n    if pop in ['Native Californian','Alaska','Yaghan','Fuegian']:\n        return 0\n    elif pop in ['East Africa','Ebolwa','Afalou','West Africa','Khoi-San','French Cameroons','Khoi-San or bushman half-caste','Central Africa','South Africa']:\n        return 1\n    else:\n        return 2\ndf['pop_class'] = df['pop'].apply(map_pop_to_class)\ndf = pd.get_dummies(df, columns=['pop_class'])"", ""rationale"": ""Classify the specimen origination by American region, African region and others"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""pop""], ""pop_class_0""], [[""pop""], ""pop_class_1""], [[""pop""], ""pop_class_2""]], ""branches"": [{""dependencies"": [""b45c42e9a52c472b90f42b35fcd8a777""], ""condition"": """"}]}",,,,
66c412b5fb114e7e9e16a79efec062fa,,"{""time_stamp"": ""06-13-2024 at 09:42:15 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""gender"", ""final_columns_derived_spec_ids"": [""7e8bf09d5d8b49fe9357b852ece18cce"", ""1e7a518108bd4391a3e3c8f3f71e01a7"", ""cd20bdca415944c1bed053ca628b7e1d"", ""56efef418e2e404ba53ffb5c12e19aa7""], ""final_columns_orig"": [""\ud83d\udfe8 prob_male""], ""final_columns_derived"": [""\ud83d\udfe9 gender""], ""final_columns_leaf_spec_ids"": [""7e8bf09d5d8b49fe9357b852ece18cce""], ""column_rationales"": {""\ud83d\udfe8 age"": ""We need to account for the effects of age as control variable"", ""\ud83d\udfe8 sockets"": ""We need to account for the effects of sockets as control variable"", ""\ud83d\udfe9 gender"": ""We need to account for the effects of gender  as control variable"", ""\ud83d\udfe8 prob_male"": ""Instead of classifying it to 0 or 1, we can keep the original probability. This is original estimate of sex""}, ""interaction"": false, ""rationale"": ""We need to take account of the effects of gender"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
4fb3f76c54f1451cbcee9b936a959e2e,,,,"{""time_stamp"": ""06-14-2024 at 06:51:03 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Logistic Regression"", ""spec_name"": ""logistic_regression"", ""rationale"": ""Build logistic regression model based on the independent variable genus_01(Homo sapiens or others) and control variables age, gender and sockets"", ""dependencies"": [], ""code"": ""logreg = smf.logit(formula = 'num_amtl_01 ~ genus_01 + age + sockets + tooth_class_Anterior + tooth_class_Posterior + tooth_class_Premolar + gender + pop_class_0 + pop_class_1 + pop_class_2 + pop_class_3',\n                       data = df).fit()"", ""associated_columns_derived_spec_ids"": [""ROOT_SPEC_ID"", ""b45c42e9a52c472b90f42b35fcd8a777"", ""48895f47533c44b2ad71e2aac9c4ffa3"", ""cd20bdca415944c1bed053ca628b7e1d"", ""1e7a518108bd4391a3e3c8f3f71e01a7"", ""7e8bf09d5d8b49fe9357b852ece18cce"", ""3934c6ab265744b88bda1d8059356ba4"", ""56efef418e2e404ba53ffb5c12e19aa7"", ""b67ed9caf96a41ed961c739bc9b8199e""], ""associated_columns_orig"": [""\ud83d\udfe8 age"", ""\ud83d\udfe8 sockets""], ""associated_columns_derived"": [""\ud83d\udfe9 num_amtl_01"", ""\ud83d\udfe9 genus_01"", ""\ud83d\udfe9 gender"", ""\ud83d\udfe9 pop_class_0"", ""\ud83d\udfe9 pop_class_1"", ""\ud83d\udfe9 pop_class_2"", ""\ud83d\udfe9 tooth_class_Anterior"", ""\ud83d\udfe9 tooth_class_Posterior"", ""\ud83d\udfe9 tooth_class_Premolar"", ""\ud83d\udfe9 pop_class_3""], ""associated_columns_leaf_spec_ids"": [""56efef418e2e404ba53ffb5c12e19aa7"", ""b45c42e9a52c472b90f42b35fcd8a777"", ""7e8bf09d5d8b49fe9357b852ece18cce"", ""3934c6ab265744b88bda1d8059356ba4"", ""48895f47533c44b2ad71e2aac9c4ffa3"", ""3934c6ab265744b88bda1d8059356ba4"", ""48895f47533c44b2ad71e2aac9c4ffa3"", ""3934c6ab265744b88bda1d8059356ba4"", ""48895f47533c44b2ad71e2aac9c4ffa3"", ""b67ed9caf96a41ed961c739bc9b8199e"", ""b67ed9caf96a41ed961c739bc9b8199e"", ""b67ed9caf96a41ed961c739bc9b8199e"", ""48895f47533c44b2ad71e2aac9c4ffa3""], ""associated_specified_spec_ids"": [""3934c6ab265744b88bda1d8059356ba4""], ""annotator"": null}",,,
