spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
fc3ef3f7e16b4a48bf2029a919a84510,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""005cd8a0954d4b369dd2f78159511e56""
    },
    {
      ""id"": ""ddd9496e82a94a7c823d06079f31eb11""
    },
    {
      ""id"": ""e0f0f26ab35b49b18b666209619b8660""
    },
    {
      ""id"": ""abff931e106c4dc5b265dda7a7df302c""
    },
    {
      ""id"": ""7b20316214b94d31a0ef7190d7268b6f""
    },
    {
      ""id"": ""1449f05ae49f4714935178ff511b4395""
    },
    {
      ""id"": ""75f27dcc1046415fb71e410b740e7137""
    },
    {
      ""id"": ""54521fff564b446fb3107822080ac63d""
    },
    {
      ""id"": ""53caaa563c344333a6b6295cbce2e28c""
    },
    {
      ""id"": ""a2cc854d01f44375b87a408be7ca6e76""
    },
    {
      ""id"": ""83b70af89c144ac29f921177f748ef32""
    },
    {
      ""id"": ""0273e636aa4a482aa4a37ccf934e5d65""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""005cd8a0954d4b369dd2f78159511e56""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""ddd9496e82a94a7c823d06079f31eb11""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""e0f0f26ab35b49b18b666209619b8660""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""53caaa563c344333a6b6295cbce2e28c""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""a2cc854d01f44375b87a408be7ca6e76""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""54521fff564b446fb3107822080ac63d""
    },
    {
      ""source"": ""e0f0f26ab35b49b18b666209619b8660"",
      ""target"": ""abff931e106c4dc5b265dda7a7df302c""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
005cd8a0954d4b369dd2f78159511e56,,,"{""time_stamp"": ""06-02-2024 at 09:45:07 PM"", ""tags"": [""girl""], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""girl = 1 if gender =1, girl = 0 if gender is something else"", ""spec_name"": ""girl"", ""trans_verb"": [""derive""], ""code"": ""df['girl'] = np.where(df['gender'] == 1, 1, 0)"", ""rationale"": ""Clean the variable gender, create a new variable 'girl'"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""gender""], ""girl""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}]}",,,,
ddd9496e82a94a7c823d06079f31eb11,,,"{""time_stamp"": ""06-04-2024 at 10:34:52 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""y_majority_chosen = 1 if y = 2, otherwise y = 0"", ""spec_name"": ""y_majority_chosen"", ""trans_verb"": [""derive""], ""code"": ""df['y_majority_chosen'] = np.where(df['y'] == 2, 1, np.where(df['y'] == 3, 0, 0))\n"", ""rationale"": ""Transform y into a binary outcome for logit models"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""y""], ""y_majority_chosen""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
e0f0f26ab35b49b18b666209619b8660,,,"{""time_stamp"": ""06-04-2024 at 10:42:26 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Exclude unchosen option, change it into NA"", ""spec_name"": ""y_majority_no_middle"", ""trans_verb"": [""derive""], ""code"": ""df.loc[df['y'] == 2, 'y_majority_no_middle'] = 1\ndf.loc[df['y'] == 3, 'y_majority_no_middle'] = 0\ndf.loc[df['y'] == 1, 'y_majority_no_middle'] = pd.NA"", ""rationale"": ""Exclude unchosen option"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""y""], ""y_majority_no_middle""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
abff931e106c4dc5b265dda7a7df302c,,,"{""time_stamp"": ""06-04-2024 at 11:07:29 PM"", ""tags"": [""df_clean""], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Drop NAs"", ""spec_name"": ""df_clean"", ""trans_verb"": [""other""], ""code"": ""df_clean = df.dropna(subset=['y_majority_no_middle'])"", ""rationale"": ""Drop NAs"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""y_majority_no_middle""], """"]], ""branches"": [{""dependencies"": [""e0f0f26ab35b49b18b666209619b8660""], ""condition"": """"}], ""annotator"": null}",,,,
25dcc152578a41f6ab3c760225596bcf,,"{""time_stamp"": ""06-15-2024 at 07:08:55 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""age"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 age""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 age"": ""suitability""}, ""interaction"": false, ""rationale"": ""suitability"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
c7c5ba2ad51846edaa6301077b34d111,,"{""time_stamp"": ""06-15-2024 at 07:16:40 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""gender"", ""final_columns_derived_spec_ids"": [""005cd8a0954d4b369dd2f78159511e56"", ""a2cc854d01f44375b87a408be7ca6e76"", ""ROOT_SPEC_ID""], ""final_columns_orig"": [], ""final_columns_derived"": [""\ud83d\udfe9 girl"", ""\ud83d\udfe9 gender_2""], ""final_columns_leaf_spec_ids"": [""005cd8a0954d4b369dd2f78159511e56"", ""a2cc854d01f44375b87a408be7ca6e76""], ""column_rationales"": {""\ud83d\udfe9 girl"": ""suitability"", ""\ud83d\udfe9 gender_2"": ""suitability""}, ""interaction"": false, ""rationale"": ""suitability"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
91f5cec61cea40f7860c5a7e8ba51c8c,,"{""time_stamp"": ""06-02-2024 at 09:56:03 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""majority_first"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 majority_first""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 majority_first"": ""suitability""}, ""interaction"": false, ""rationale"": ""suitability"", ""on"": """", ""random_effect"": false}",,,,,
e9c72f75cea74219a877dc6670f41f69,,"{""time_stamp"": ""06-15-2024 at 07:22:01 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""DV"", ""concept"": ""children's choice"", ""final_columns_derived_spec_ids"": [""e0f0f26ab35b49b18b666209619b8660"", ""ddd9496e82a94a7c823d06079f31eb11"", ""ROOT_SPEC_ID"", ""54521fff564b446fb3107822080ac63d""], ""final_columns_orig"": [""\ud83d\udfe8 y""], ""final_columns_derived"": [""\ud83d\udfe9 y_majority_chosen"", ""\ud83d\udfe9 y_majority_no_middle"", ""\ud83d\udfe9 y_category""], ""final_columns_leaf_spec_ids"": [""ddd9496e82a94a7c823d06079f31eb11"", ""e0f0f26ab35b49b18b666209619b8660"", ""54521fff564b446fb3107822080ac63d""], ""column_rationales"": {""\ud83d\udfe8 y"": ""Suitability"", ""\ud83d\udfe9 y_majority_chosen"": ""Binary variable for logit model"", ""\ud83d\udfe9 y_majority_no_middle"": ""To delete the children's middle choice, which will make the measurement more exact"", ""\ud83d\udfe9 y_category"": ""suitability""}, ""interaction"": false, ""rationale"": ""Whether children's choice is aligned with majority or not"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
