spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
fb5fe10b673f40fd800e252fd3a9634f,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""0418ce898abb48eb95f0cee4c0f60fe9""
    },
    {
      ""id"": ""da307581b3de414ebd373d1d314836b9""
    },
    {
      ""id"": ""828d67b3b37343e4b8090d378642f551""
    },
    {
      ""id"": ""23bf701cf9514e81beda2d95bef0127d""
    },
    {
      ""id"": ""6a08fecea05f42d5b6e9bc2bf7b50fd6""
    },
    {
      ""id"": ""1b11105a04d946628db3defce41e4895""
    },
    {
      ""id"": ""44dd1fff666949f2abb0cfeb8e670740""
    },
    {
      ""id"": ""6cac3dd5dc0145a7806f5437b7b09c1d""
    },
    {
      ""id"": ""1e2745757a644464b34ed9b824f872c6""
    },
    {
      ""id"": ""a8fc8160aac34c5b9932e5cfab369775""
    },
    {
      ""id"": ""d84bd8409c4a40628d99edcd1633f23f""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""0418ce898abb48eb95f0cee4c0f60fe9""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""828d67b3b37343e4b8090d378642f551""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""23bf701cf9514e81beda2d95bef0127d""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""6a08fecea05f42d5b6e9bc2bf7b50fd6""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""1b11105a04d946628db3defce41e4895""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
0418ce898abb48eb95f0cee4c0f60fe9,,,"{""time_stamp"": ""06-15-2024 at 06:27:48 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Construct the student-teacher ratio"", ""spec_name"": ""student_teacher_ratio"", ""trans_verb"": [""derive""], ""code"": ""df['student_teacher_ratio'] = df['students'] / df['teachers']"", ""rationale"": ""IV in the model"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""students"", ""teachers""], ""student_teacher_ratio""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
386042536a2a4d4988485568ee0fff66,,"{""time_stamp"": ""06-15-2024 at 06:36:10 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""student-teacher ratio"", ""final_columns_derived_spec_ids"": [""0418ce898abb48eb95f0cee4c0f60fe9"", ""ROOT_SPEC_ID""], ""final_columns_orig"": [], ""final_columns_derived"": [""\ud83d\udfe9 student_teacher_ratio""], ""final_columns_leaf_spec_ids"": [""0418ce898abb48eb95f0cee4c0f60fe9""], ""column_rationales"": {""\ud83d\udfe9 ratio"": ""Computed student-teacher ratio"", ""\ud83d\udfe9 student_teacher_ratio"": ""student-teacher ratio""}, ""interaction"": false, ""rationale"": ""Student-teacher Ratio is the most suitable and readily available IV for our RQ. "", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
4e987526536b41b4872501adaf75a075,,"{""time_stamp"": ""06-15-2024 at 06:37:07 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""DV"", ""concept"": ""academic performance"", ""final_columns_derived_spec_ids"": [""23bf701cf9514e81beda2d95bef0127d"", ""828d67b3b37343e4b8090d378642f551"", ""ROOT_SPEC_ID""], ""final_columns_orig"": [], ""final_columns_derived"": [""\ud83d\udfe9 score_mean"", ""\ud83d\udfe9 score_sum""], ""final_columns_leaf_spec_ids"": [""828d67b3b37343e4b8090d378642f551"", ""23bf701cf9514e81beda2d95bef0127d""], ""column_rationales"": {""\ud83d\udfe9 avg_score"": ""Average of reading and math scores. "", ""\ud83d\udfe9 sum_score"": ""Sum of reading and math scores. "", ""\ud83d\udfe9 score_mean"": ""mean score"", ""\ud83d\udfe9 score_sum"": ""sum score""}, ""interaction"": false, ""rationale"": ""Need an aggregated score as our DV to measure academic performance.  This can be best constructed from the sum or mean of the reading score and math score. "", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
18b07422688d42c195f05c2b59e2a6ea,,"{""time_stamp"": ""06-15-2024 at 06:38:39 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""economic status of student"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 calworks"", ""\ud83d\udfe8 income"", ""\ud83d\udfe8 lunch""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 calworks"": ""one measure of economic status"", ""\ud83d\udfe8 income"": ""one measure of economic status"", ""\ud83d\udfe8 lunch"": ""one measure of economic status""}, ""interaction"": false, ""rationale"": ""For control. Only one is needed."", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
ef31bb12a5a94ae08cfc992c7dfedf2d,,"{""time_stamp"": ""06-15-2024 at 06:39:27 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""English learner percentage"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 english""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 english"": ""directly used ""}, ""interaction"": false, ""rationale"": ""A control for schools with more linguistically diverse student population. "", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
da307581b3de414ebd373d1d314836b9,,,,"{""time_stamp"": ""06-15-2024 at 07:35:25 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Linear Regression"", ""spec_name"": ""linear_regression"", ""rationale"": ""Linear model holds for this dataset"", ""dependencies"": [], ""code"": ""model = smf.ols('score_sum ~ student_teacher_ratio + C(grades) + income + english', data=df).fit()"", ""associated_columns_derived_spec_ids"": [""0418ce898abb48eb95f0cee4c0f60fe9"", ""23bf701cf9514e81beda2d95bef0127d"", ""ROOT_SPEC_ID""], ""associated_columns_orig"": [""\ud83d\udfe8 english"", ""\ud83d\udfe8 income"", ""\ud83d\udfe8 grades""], ""associated_columns_derived"": [""\ud83d\udfe9 score_sum"", ""\ud83d\udfe9 student_teacher_ratio""], ""associated_columns_leaf_spec_ids"": [""23bf701cf9514e81beda2d95bef0127d"", ""0418ce898abb48eb95f0cee4c0f60fe9""], ""associated_specified_spec_ids"": [], ""annotator"": null}",,,
26eabe359a9d404cbe3abee7b1bd7852,,,,,,"{""time_stamp"": ""06-07-2024 at 07:07:48 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": ""County too granular, interaction effects (in this case Random Effects) could depress regression power. "", ""annotator_is_rationale_reasonable"": ""Unsure"", ""rationale"": ""The county where the school is located may influence the academic performance given the variation in resources and socio-economic conditions across different counties."", ""annotator"": null, ""variable_type"": ""Control"", ""concept"": ""County"", ""columns"": [""county""], ""interaction"": true, ""on"": ""Student-teacher ratio"", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Unsure"", ""associated_cv_spec_id"": null}",
fa4f00e6a5254682935093eb850c6df8,,,,,,"{""time_stamp"": ""06-07-2024 at 07:07:48 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": """", ""annotator_is_rationale_reasonable"": ""Unsure"", ""rationale"": ""The availability of computers per student may influence a student's academic performance as it can represent the quality of resources provided by the school."", ""annotator"": null, ""variable_type"": ""Control"", ""concept"": ""Number of computers per student"", ""columns"": [""computer"", ""students""], ""interaction"": false, ""on"": """", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Yes"", ""associated_cv_spec_id"": null}",
