spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
832c3919e06d426dafb283f8a79d2640,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""1aa384acb32e449bb67e616cac8a76e5""
    },
    {
      ""id"": ""0ad014ab44934bbd952fe33c06011b96""
    },
    {
      ""id"": ""c37876d03d5c463083d15518b0795bf7""
    },
    {
      ""id"": ""72303a223f54483caeb426472377b789""
    },
    {
      ""id"": ""ed1cc964942b4d9ba3f1dc075c289a2d""
    },
    {
      ""id"": ""de33f078cbb8400ca973c6a5826425dd""
    },
    {
      ""id"": ""48c050ee358b4972a1b9559bd75f0bb5""
    },
    {
      ""id"": ""6a63bdd1d6b74199aeb8dd05abdccb57""
    },
    {
      ""id"": ""a91dffaa35af44da8496d4367a890843""
    },
    {
      ""id"": ""363a2149c7ed4f96a65f88d5673ba751""
    },
    {
      ""id"": ""af7a88d528d146679e77ceca467e0ffb""
    },
    {
      ""id"": ""bc5c9c5db5f24aba9e30310b107780c8""
    },
    {
      ""id"": ""b823ec277a6447f688465a9c2affc8e2""
    },
    {
      ""id"": ""ebc86ad8ed9245d5bc158f0db2d516c0""
    },
    {
      ""id"": ""d435bb2e2d8b4b0d94fc6e794e172652""
    },
    {
      ""id"": ""464615ae4d034f0c834c911d5a358ef4""
    },
    {
      ""id"": ""77eaaee5442d49f18cef48dbf068376a""
    },
    {
      ""id"": ""11ef8135851a46078e2421946e06e618""
    },
    {
      ""id"": ""6fcc559552494e0abe865ea91ef42fa6""
    },
    {
      ""id"": ""4f707be8804f4cb389c523d0a9eff499""
    },
    {
      ""id"": ""79d33ed08a8f4c46afd64392221ddc7b""
    },
    {
      ""id"": ""0acafa49f1104c1fbafa54a91ba1fb29""
    },
    {
      ""id"": ""56a37a4170b245228bc7f0992fe46ae6""
    },
    {
      ""id"": ""7f760f74a62e4ab88c8ef3f4e0517939""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""0acafa49f1104c1fbafa54a91ba1fb29""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""4f707be8804f4cb389c523d0a9eff499""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""1aa384acb32e449bb67e616cac8a76e5""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""72303a223f54483caeb426472377b789""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""0ad014ab44934bbd952fe33c06011b96""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""79d33ed08a8f4c46afd64392221ddc7b""
    },
    {
      ""source"": ""79d33ed08a8f4c46afd64392221ddc7b"",
      ""target"": ""4f707be8804f4cb389c523d0a9eff499""
    },
    {
      ""source"": ""79d33ed08a8f4c46afd64392221ddc7b"",
      ""target"": ""1aa384acb32e449bb67e616cac8a76e5""
    },
    {
      ""source"": ""79d33ed08a8f4c46afd64392221ddc7b"",
      ""target"": ""72303a223f54483caeb426472377b789""
    },
    {
      ""source"": ""79d33ed08a8f4c46afd64392221ddc7b"",
      ""target"": ""0ad014ab44934bbd952fe33c06011b96""
    },
    {
      ""source"": ""0acafa49f1104c1fbafa54a91ba1fb29"",
      ""target"": ""79d33ed08a8f4c46afd64392221ddc7b""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
1aa384acb32e449bb67e616cac8a76e5,,,"{""time_stamp"": ""08-12-2024 at 01:30:12 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Take the mean of two masfem scores"", ""spec_name"": ""masfem_mean"", ""trans_verb"": [""derive""], ""code"": ""df['masfem_mean'] = df[['masfem', 'masfem_mturk']].mean(axis=1)"", ""rationale"": ""Combine the two masfem score columns is make fully use of both."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""masfem_mturk"", ""masfem""], ""masfem_mean""]], ""branches"": [{""dependencies"": [""79d33ed08a8f4c46afd64392221ddc7b""], ""condition"": """"}, {""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
d67e2855652e415b9535e67f96cfd328,,"{""time_stamp"": ""06-10-2024 at 10:57:30 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""feminity metric of hurricane name"", ""final_columns_derived_spec_ids"": [""4f707be8804f4cb389c523d0a9eff499"", ""0acafa49f1104c1fbafa54a91ba1fb29"", ""79d33ed08a8f4c46afd64392221ddc7b"", ""ROOT_SPEC_ID"", ""1aa384acb32e449bb67e616cac8a76e5""], ""final_columns_orig"": [""\ud83d\udfe8 masfem"", ""\ud83d\udfe8 masfem_mturk"", ""\ud83d\udfe8 gender_mf""], ""final_columns_derived"": [""\ud83d\udfe9 masfem_mean"", ""\ud83d\udfe9 masfem_weighted_mean""], ""final_columns_leaf_spec_ids"": [""1aa384acb32e449bb67e616cac8a76e5"", ""4f707be8804f4cb389c523d0a9eff499""], ""column_rationales"": {""\ud83d\udfe9 masfem_mean"": ""make full use of all available scores"", ""\ud83d\udfe8 masfem"": ""feminity score column"", ""\ud83d\udfe8 masfem_mturk"": ""feminity score column"", ""\ud83d\udfe8 gender_mf"": ""binary male/female"", ""\ud83d\udfe9 masfem_weighted_mean"": ""another way to make full use of all available scores""}, ""interaction"": false, ""rationale"": ""As specified by the RQ"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
0ad014ab44934bbd952fe33c06011b96,,,"{""time_stamp"": ""08-12-2024 at 01:31:52 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Box-Cox transformation of alldeaths"", ""spec_name"": ""alldeaths_boxcox"", ""trans_verb"": [""derive""], ""code"": ""import scipy.stats as stats\ndf['alldeaths_boxcox'] = stats.boxcox(df['alldeaths']+0.01)[0]"", ""rationale"": ""alldeaths is not normally distributed, which will lead to violation of normal residual assumption in linear regression. Need to transform it so that linear model is valid."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""alldeaths""], ""alldeaths_boxcox""]], ""branches"": [{""dependencies"": [""79d33ed08a8f4c46afd64392221ddc7b""], ""condition"": """"}, {""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
4ed1dc90a0364249a38ee1aaad7dbcca,,"{""time_stamp"": ""06-10-2024 at 10:58:08 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""year of hurricane"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 year"", ""\ud83d\udfe8 elapsedyrs""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 year"": ""year of hurricane"", ""\ud83d\udfe9 elapsedyrs13"": ""Also ok to use, especially when using ndam13 as DV."", ""\ud83d\udfe9 elapsedyrs15"": ""Also ok to use, especially when using ndam15 as DV."", ""\ud83d\udfe8 elapsedyrs"": ""year elapsed until 2013""}, ""interaction"": false, ""rationale"": ""Since the time span of the data is large, there might be changes such as improvements in the efficacy of precautionary measures over time. Therefore, it's a good idea to control for this time factor."", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
56cbd0fc429b4483b9f10d42c07fc824,,"{""time_stamp"": ""06-11-2024 at 12:01:31 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""intensity of hurricane"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 category"", ""\ud83d\udfe8 wind"", ""\ud83d\udfe8 min""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 category"": ""the best column for intensity because it's based on a standardized composite scale."", ""\ud83d\udfe8 wind"": ""another measure of intensity. Highly correlates with category and min. Only one is needed."", ""\ud83d\udfe8 min"": ""another measure of intensity. Highly correlates with category and wind. Only one is needed.""}, ""interaction"": false, ""rationale"": ""There is no doubt that the damage caused by a hurricane is associated with its intensity, so we should control for this when there are relevant columns in the data."", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
c37876d03d5c463083d15518b0795bf7,,,,"{""time_stamp"": ""06-12-2024 at 09:00:59 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Linear Regression"", ""spec_name"": ""linear_regression"", ""rationale"": ""Linear model is the simplest and workable model form on this dataset. Need to use transformed death number as DV."", ""dependencies"": [], ""code"": ""import statsmodels.formula.api as smf\nmodel = smf.ols('alldeaths_boxcox ~ masfem_mturk + min + year', data=df).fit()"", ""associated_columns_derived_spec_ids"": [""0ad014ab44934bbd952fe33c06011b96"", ""0acafa49f1104c1fbafa54a91ba1fb29"", ""79d33ed08a8f4c46afd64392221ddc7b"", ""ROOT_SPEC_ID""], ""associated_columns_orig"": [""\ud83d\udfe8 year"", ""\ud83d\udfe8 min"", ""\ud83d\udfe8 masfem_mturk""], ""associated_columns_derived"": [""\ud83d\udfe9 alldeaths_boxcox""], ""associated_columns_leaf_spec_ids"": [""0ad014ab44934bbd952fe33c06011b96""], ""associated_specified_spec_ids"": [""0ad014ab44934bbd952fe33c06011b96""], ""annotator"": null}",,,
c6f36aaacd84476c9094efc6a1d2c302,,,,,,"{""time_stamp"": ""06-05-2024 at 10:57:18 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": """", ""annotator_is_rationale_reasonable"": ""No"", ""rationale"": ""The elapsed time since the hurricane occurred might influence the public's perception and subsequent response to hurricanes. As time goes by, public awareness and preparedness for hurricanes may have changed, possibly affecting the number of deaths and the amount of damage caused by hurricanes."", ""annotator"": null, ""variable_type"": ""Control"", ""concept"": ""Elapsed years"", ""columns"": [""elapsedyrs""], ""interaction"": false, ""on"": """", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Yes"", ""associated_cv_spec_id"": null}",
c6c41e3ddde241fa8648b2b8ad5a2b5e,,,,,,"{""time_stamp"": ""06-05-2024 at 10:57:18 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": """", ""annotator_is_rationale_reasonable"": ""Yes"", ""rationale"": ""The minimum pressure of the hurricane at the time of landfall in the United States could influence the severity of the hurricane, which in turn could affect the public's perception of the hurricane and the precautionary measures taken."", ""annotator"": null, ""variable_type"": ""Control"", ""concept"": ""Minimum pressure at landfall"", ""columns"": [""min""], ""interaction"": false, ""on"": """", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Yes"", ""associated_cv_spec_id"": null}",
