spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
4f455b41b58a4b9da1ddedb85a249ec7,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""f99c1d7952f9422dbd44ca42d95e9798""
    },
    {
      ""id"": ""c00678fb02de4777bc782ee9d3a81c32""
    },
    {
      ""id"": ""6f2854cee4c14c1484562546868f3622""
    },
    {
      ""id"": ""6ac33b7b2d8d4d17b5746b15ae3686e0""
    },
    {
      ""id"": ""fbf31ab4c37f4e7b88acf6bf0130eed8""
    },
    {
      ""id"": ""436d61dcf3474c0689891be397b44d9c""
    },
    {
      ""id"": ""2ffd944199614b62abc82fce17a100a2""
    },
    {
      ""id"": ""70f00736c49841ddb449edc83f969235""
    },
    {
      ""id"": ""58440f57bbfa4529a7d065db0a955a3c""
    },
    {
      ""id"": ""4741af841b0c48b2940fe545b66ef4de""
    },
    {
      ""id"": ""04d6e26bc6fc45779fd4ef1c288fd233""
    },
    {
      ""id"": ""1761b61e2b2946278ce7d36fb7f983e5""
    },
    {
      ""id"": ""62fbc37dd21a426bbd462f440d365721""
    },
    {
      ""id"": ""82513c60ab27478ba86bca8f71e57d7f""
    },
    {
      ""id"": ""3d0995b1a17b4df98c9a9fbb57e1dfc7""
    },
    {
      ""id"": ""23b1d2e61b324562820c810966cbb28d""
    },
    {
      ""id"": ""1ee89cb6a4ac4c6699f697f1fb0c0e7b""
    },
    {
      ""id"": ""46b45893125c45e3a193ea61793479df""
    },
    {
      ""id"": ""55372d7b7aaa4d2baa31c938182e2991""
    },
    {
      ""id"": ""2d7480dfd9894e9fbf4de57de4b59f81""
    },
    {
      ""id"": ""efeb1286f4c8415d9b3d95709f7701eb""
    },
    {
      ""id"": ""c373cb18e36749b2b8f480e7e7344476""
    },
    {
      ""id"": ""c35e6cffe9044dc8921e7a0596b88602""
    },
    {
      ""id"": ""2e803fb2241d4351a010323f4dd5cc38""
    },
    {
      ""id"": ""cc80c91d1673460d8b98286d589cdcd2""
    },
    {
      ""id"": ""2c3ac8f6156d4ef0b13808854937ac8f""
    },
    {
      ""id"": ""630b3ecb164b47d39fba8849f3a3528a""
    },
    {
      ""id"": ""c10270e922fe4a5fa42ef846b5f05964""
    },
    {
      ""id"": ""6d1a01c2612647c396789de34dfe5599""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""f99c1d7952f9422dbd44ca42d95e9798""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""04d6e26bc6fc45779fd4ef1c288fd233""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""1761b61e2b2946278ce7d36fb7f983e5""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""6f2854cee4c14c1484562546868f3622""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""c00678fb02de4777bc782ee9d3a81c32""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""46b45893125c45e3a193ea61793479df""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""55372d7b7aaa4d2baa31c938182e2991""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""2d7480dfd9894e9fbf4de57de4b59f81""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""efeb1286f4c8415d9b3d95709f7701eb""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""c373cb18e36749b2b8f480e7e7344476""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""2c3ac8f6156d4ef0b13808854937ac8f""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""630b3ecb164b47d39fba8849f3a3528a""
    },
    {
      ""source"": ""f99c1d7952f9422dbd44ca42d95e9798"",
      ""target"": ""04d6e26bc6fc45779fd4ef1c288fd233""
    },
    {
      ""source"": ""f99c1d7952f9422dbd44ca42d95e9798"",
      ""target"": ""6f2854cee4c14c1484562546868f3622""
    },
    {
      ""source"": ""f99c1d7952f9422dbd44ca42d95e9798"",
      ""target"": ""c00678fb02de4777bc782ee9d3a81c32""
    },
    {
      ""source"": ""c00678fb02de4777bc782ee9d3a81c32"",
      ""target"": ""fbf31ab4c37f4e7b88acf6bf0130eed8""
    },
    {
      ""source"": ""c00678fb02de4777bc782ee9d3a81c32"",
      ""target"": ""436d61dcf3474c0689891be397b44d9c""
    },
    {
      ""source"": ""c00678fb02de4777bc782ee9d3a81c32"",
      ""target"": ""62fbc37dd21a426bbd462f440d365721""
    },
    {
      ""source"": ""6f2854cee4c14c1484562546868f3622"",
      ""target"": ""1761b61e2b2946278ce7d36fb7f983e5""
    },
    {
      ""source"": ""6ac33b7b2d8d4d17b5746b15ae3686e0"",
      ""target"": ""58440f57bbfa4529a7d065db0a955a3c""
    },
    {
      ""source"": ""6ac33b7b2d8d4d17b5746b15ae3686e0"",
      ""target"": ""630b3ecb164b47d39fba8849f3a3528a""
    },
    {
      ""source"": ""fbf31ab4c37f4e7b88acf6bf0130eed8"",
      ""target"": ""2ffd944199614b62abc82fce17a100a2""
    },
    {
      ""source"": ""fbf31ab4c37f4e7b88acf6bf0130eed8"",
      ""target"": ""70f00736c49841ddb449edc83f969235""
    },
    {
      ""source"": ""fbf31ab4c37f4e7b88acf6bf0130eed8"",
      ""target"": ""3d0995b1a17b4df98c9a9fbb57e1dfc7""
    },
    {
      ""source"": ""436d61dcf3474c0689891be397b44d9c"",
      ""target"": ""2ffd944199614b62abc82fce17a100a2""
    },
    {
      ""source"": ""436d61dcf3474c0689891be397b44d9c"",
      ""target"": ""70f00736c49841ddb449edc83f969235""
    },
    {
      ""source"": ""436d61dcf3474c0689891be397b44d9c"",
      ""target"": ""3d0995b1a17b4df98c9a9fbb57e1dfc7""
    },
    {
      ""source"": ""2ffd944199614b62abc82fce17a100a2"",
      ""target"": ""6ac33b7b2d8d4d17b5746b15ae3686e0""
    },
    {
      ""source"": ""2ffd944199614b62abc82fce17a100a2"",
      ""target"": ""58440f57bbfa4529a7d065db0a955a3c""
    },
    {
      ""source"": ""70f00736c49841ddb449edc83f969235"",
      ""target"": ""6ac33b7b2d8d4d17b5746b15ae3686e0""
    },
    {
      ""source"": ""70f00736c49841ddb449edc83f969235"",
      ""target"": ""58440f57bbfa4529a7d065db0a955a3c""
    },
    {
      ""source"": ""58440f57bbfa4529a7d065db0a955a3c"",
      ""target"": ""2c3ac8f6156d4ef0b13808854937ac8f""
    },
    {
      ""source"": ""04d6e26bc6fc45779fd4ef1c288fd233"",
      ""target"": ""fbf31ab4c37f4e7b88acf6bf0130eed8""
    },
    {
      ""source"": ""04d6e26bc6fc45779fd4ef1c288fd233"",
      ""target"": ""436d61dcf3474c0689891be397b44d9c""
    },
    {
      ""source"": ""04d6e26bc6fc45779fd4ef1c288fd233"",
      ""target"": ""62fbc37dd21a426bbd462f440d365721""
    },
    {
      ""source"": ""1761b61e2b2946278ce7d36fb7f983e5"",
      ""target"": ""fbf31ab4c37f4e7b88acf6bf0130eed8""
    },
    {
      ""source"": ""1761b61e2b2946278ce7d36fb7f983e5"",
      ""target"": ""436d61dcf3474c0689891be397b44d9c""
    },
    {
      ""source"": ""1761b61e2b2946278ce7d36fb7f983e5"",
      ""target"": ""62fbc37dd21a426bbd462f440d365721""
    },
    {
      ""source"": ""62fbc37dd21a426bbd462f440d365721"",
      ""target"": ""82513c60ab27478ba86bca8f71e57d7f""
    },
    {
      ""source"": ""82513c60ab27478ba86bca8f71e57d7f"",
      ""target"": ""2ffd944199614b62abc82fce17a100a2""
    },
    {
      ""source"": ""82513c60ab27478ba86bca8f71e57d7f"",
      ""target"": ""70f00736c49841ddb449edc83f969235""
    },
    {
      ""source"": ""82513c60ab27478ba86bca8f71e57d7f"",
      ""target"": ""3d0995b1a17b4df98c9a9fbb57e1dfc7""
    },
    {
      ""source"": ""3d0995b1a17b4df98c9a9fbb57e1dfc7"",
      ""target"": ""23b1d2e61b324562820c810966cbb28d""
    },
    {
      ""source"": ""3d0995b1a17b4df98c9a9fbb57e1dfc7"",
      ""target"": ""1ee89cb6a4ac4c6699f697f1fb0c0e7b""
    },
    {
      ""source"": ""23b1d2e61b324562820c810966cbb28d"",
      ""target"": ""6ac33b7b2d8d4d17b5746b15ae3686e0""
    },
    {
      ""source"": ""23b1d2e61b324562820c810966cbb28d"",
      ""target"": ""58440f57bbfa4529a7d065db0a955a3c""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
c02053347deb46e68e928c4205ccae6f,,"{""time_stamp"": ""06-14-2024 at 04:08:14 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""gender"", ""final_columns_derived_spec_ids"": [""1761b61e2b2946278ce7d36fb7f983e5"", ""04d6e26bc6fc45779fd4ef1c288fd233"", ""c00678fb02de4777bc782ee9d3a81c32"", ""f99c1d7952f9422dbd44ca42d95e9798"", ""ROOT_SPEC_ID"", ""6f2854cee4c14c1484562546868f3622""], ""final_columns_orig"": [], ""final_columns_derived"": [""\ud83d\udfe9 female_final""], ""final_columns_leaf_spec_ids"": [""c00678fb02de4777bc782ee9d3a81c32"", ""04d6e26bc6fc45779fd4ef1c288fd233"", ""1761b61e2b2946278ce7d36fb7f983e5""], ""column_rationales"": {""\ud83d\udfe8 female"": """", ""\ud83d\udfe9 female_final"": ""Gender of individual""}, ""interaction"": false, ""rationale"": ""Independent variable"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
c373cb18e36749b2b8f480e7e7344476,,,"{""time_stamp"": ""06-14-2024 at 04:23:53 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Specifies when PI ratio is larger than 0.76"", ""spec_name"": ""PI_ratio_indicator"", ""trans_verb"": [""derive""], ""code"": ""df['PI_ratio_ind'] = (df['PI_ratio'] > 0.76).astype(int)"", ""rationale"": ""The trend of acceptance rate reverses after 0.76 PI ratio"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""PI_ratio""], ""PI_ratio_ind""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
efeb1286f4c8415d9b3d95709f7701eb,,,"{""time_stamp"": ""06-14-2024 at 04:20:40 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Replace the values at 5 in consumer_credit to 4.1"", ""spec_name"": ""custom_consumer_credit"", ""trans_verb"": [""derive""], ""code"": ""df['consumer_credit_final'] = df['consumer_credit'].replace({5: 4.1})"", ""rationale"": ""Linearize the relationship in the ordinal scale to acceptance rate"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""consumer_credit""], ""consumer_credit_final""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
2d7480dfd9894e9fbf4de57de4b59f81,,,"{""time_stamp"": ""06-14-2024 at 04:19:22 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Replace the values at 4 in consumer_credit to 3.25"", ""spec_name"": ""custom_mortgage_credit"", ""trans_verb"": [""derive""], ""code"": ""df['mortgage_credit_final'] = df['mortgage_credit'].replace({4: 3.25})"", ""rationale"": ""Linearize the relationship in the ordinal scale to acceptance rate"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""mortgage_credit""], ""mortgage_credit_final""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
6e25ed28b2d94714a2d43076acbf3789,,"{""time_stamp"": ""05-29-2024 at 07:21:10 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""DV"", ""concept"": ""mortgage acceptance"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 accept""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 accept"": ""Mortgage application acceptance""}, ""interaction"": false, ""rationale"": ""Dependent variable"", ""on"": """", ""random_effect"": false}",,,,,
e3a9b7730a764404a6a4b5ebf9b3e2ae,,"{""time_stamp"": ""06-14-2024 at 05:31:16 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""skin color"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 black""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 black"": ""Skin color of the individual""}, ""interaction"": true, ""rationale"": ""Skin color correlates with many variables, such as economic status, in addition to inherent biases"", ""on"": ""gender"", ""random_effect"": false, ""annotator"": null}",,,,,
3356a86866c84cfa9a878e5a231615b2,,"{""time_stamp"": ""05-29-2024 at 07:40:44 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""employment status"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 self_employed""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 mortgage_credit"": """", ""\ud83d\udfe8 self_employed"": ""Self employment status""}, ""interaction"": false, ""rationale"": ""Employment status is important in mortgage applications"", ""on"": """", ""random_effect"": false}",,,,,
85c961b1207748ff9b8ce40a34a3eee6,,"{""time_stamp"": ""06-14-2024 at 04:09:43 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""marital status"", ""final_columns_derived_spec_ids"": [""fbf31ab4c37f4e7b88acf6bf0130eed8"", ""62fbc37dd21a426bbd462f440d365721"", ""1761b61e2b2946278ce7d36fb7f983e5"", ""436d61dcf3474c0689891be397b44d9c"", ""04d6e26bc6fc45779fd4ef1c288fd233"", ""c00678fb02de4777bc782ee9d3a81c32"", ""f99c1d7952f9422dbd44ca42d95e9798"", ""ROOT_SPEC_ID"", ""82513c60ab27478ba86bca8f71e57d7f"", ""6f2854cee4c14c1484562546868f3622""], ""final_columns_orig"": [], ""final_columns_derived"": [""\ud83d\udfe9 married_final""], ""final_columns_leaf_spec_ids"": [""fbf31ab4c37f4e7b88acf6bf0130eed8"", ""436d61dcf3474c0689891be397b44d9c"", ""82513c60ab27478ba86bca8f71e57d7f""], ""column_rationales"": {""\ud83d\udfe8 married"": """", ""\ud83d\udfe9 married_final"": ""Marital status""}, ""interaction"": false, ""rationale"": ""Marital status affects the household income"", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
