Unnamed: 0,female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept
0,1.0,0,0.221,0,1.0,2,5,0,0.221,0,0.8,0,1
1,0.0,0,0.265,0,0.0,2,2,0,0.265,0,0.921875,0,1
2,0.0,0,0.248,0,1.0,2,1,0,0.372,0,0.920398,0,1
3,0.0,0,0.25,0,1.0,2,1,0,0.32,0,0.8604651,0,1
4,0.0,0,0.35,0,1.0,1,1,0,0.36,0,0.6,0,1
5,0.0,0,0.17,0,1.0,1,1,0,0.24,0,0.5105263,0,1
6,1.0,0,0.29,0,0.0,2,1,0,0.35,0,0.74666667,0,1
7,0.0,0,0.22,0,1.0,2,2,0,0.28,0,0.85,0,1
8,0.0,0,0.24,0,1.0,2,2,0,0.31,1,0.89726025,1,0
9,1.0,0,0.17,0,0.0,1,2,0,0.18,0,0.35874438,0,1
10,1.0,0,0.27,0,0.0,2,1,0,0.28,0,0.2238806,0,1
11,0.0,0,0.3,0,0.0,2,1,0,0.31,0,0.6888889,0,1
12,0.0,0,0.27,0,1.0,2,1,0,0.28,1,0.53763443,1,0
13,0.0,0,0.34,0,1.0,1,1,0,0.36,0,0.6494382,0,1
14,0.0,0,0.15,0,1.0,1,1,0,0.18,0,0.3625,0,1
15,0.0,0,0.27,0,1.0,1,2,0,0.36,0,0.8333333,0,1
16,0.0,0,0.22,0,1.0,1,1,0,0.23,0,0.64285713,0,1
17,1.0,0,0.27,0,1.0,1,2,0,0.32,0,0.4375,0,1
18,0.0,0,0.29,0,1.0,2,2,0,0.31,0,0.79444444,0,1
19,0.0,0,0.28,0,0.0,2,2,0,0.37,0,0.8,0,1
20,0.0,0,0.22,0,1.0,1,6,1,0.37,1,0.89634144,1,0
21,0.0,0,0.31,0,1.0,2,3,0,0.39,0,0.87857145,0,1
22,0.0,0,0.32,0,0.0,2,1,0,0.32,0,0.77205884,0,1
23,0.0,0,0.33,0,1.0,2,1,0,0.39,0,0.90102386,0,1
24,0.0,0,0.31,0,0.0,2,1,0,0.33,0,0.6543779,0,1
25,1.0,0,0.13,0,0.0,2,1,0,0.28,0,0.6296296,0,1
26,1.0,0,0.28,0,0.0,2,1,0,0.37,0,0.8947368,0,1
27,0.0,0,0.25,0,0.0,2,1,0,0.3,0,0.4854369,0,1
28,0.0,0,0.29,0,1.0,2,1,0,0.31,0,0.9493671,0,1
29,0.0,1,0.21,0,0.0,2,1,0,0.26,0,0.8910891,0,1
30,1.0,0,0.29,0,0.0,2,1,0,0.36,0,0.8633093,0,1
31,0.0,0,0.2,0,1.0,1,5,0,0.37,0,0.71428573,0,1
32,0.0,0,0.26,0,0.0,2,3,0,0.35,0,0.7512195,0,1
33,0.0,0,0.26,0,0.0,2,1,0,0.37,0,0.9021277,0,1
34,0.0,0,0.28,0,1.0,2,1,0,0.34,0,0.84705883,0,1
35,0.0,0,0.28,0,1.0,2,1,0,0.38,0,0.47368422,0,1
36,0.0,0,0.31,0,1.0,1,1,0,0.44,0,0.6879699,0,1
37,0.0,1,0.22,0,1.0,1,2,0,0.35,0,0.8978102,0,1
38,0.0,0,0.28,0,1.0,2,1,0,0.38,0,0.8808511,0,1
39,0.0,0,0.34,0,0.0,2,1,0,0.37,0,0.9197531,0,1
40,0.0,0,0.28,0,1.0,2,1,0,0.37,0,0.93636364,0,1
41,0.0,0,0.1,0,1.0,1,1,0,0.41,0,0.64285713,0,1
42,0.0,0,0.34,0,1.0,2,1,0,0.35,1,1.4782609,1,0
43,0.0,0,0.3,0,1.0,4,3,0,0.41,1,0.72,0,0
44,1.0,0,0.28,0,0.0,2,6,1,0.34,0,0.6779661,0,1
45,0.0,0,0.19,0,1.0,2,2,0,0.29,0,0.9,0,1
46,0.0,0,0.26,0,1.0,2,6,1,0.27,1,0.8,0,0
47,1.0,1,0.27,0,0.0,2,1,0,0.37,0,0.85384613,0,1
48,0.0,0,0.3,1,1.0,2,1,0,0.34,1,0.7419355,0,0
49,0.0,0,0.15,0,0.0,1,2,0,0.36,0,0.6756757,0,1
50,1.0,0,0.32,0,0.0,3,5,0,0.34,0,0.6436782,0,1
51,0.0,0,0.21,0,1.0,2,1,0,0.27,0,0.9411765,0,1
52,0.0,0,0.08,0,0.0,1,1,0,0.16,0,0.7324841,0,1
53,0.0,0,0.28,0,0.0,2,1,0,0.39,0,0.91358024,0,1
54,0.0,0,0.26,0,1.0,2,5,0,0.36,0,0.20714286,0,1
55,0.0,0,0.265,0,1.0,2,1,1,0.314,0,0.93442625,0,1
56,0.0,0,0.28,0,1.0,2,1,1,0.34,0,0.9034483,0,1
57,0.0,0,0.28100002,0,0.0,2,2,0,0.33200002,0,0.902439,0,1
58,1.0,0,0.33,1,0.0,1,1,0,0.33,0,0.6369427,0,1
59,0.0,0,0.272,0,0.0,2,1,0,0.39900002,0,0.7692308,0,1
60,0.0,0,0.322,0,1.0,2,1,0,0.342,0,0.75,0,1
61,1.0,0,0.278,0,0.0,1,2,0,0.376,0,0.8,0,1
62,0.0,0,0.25100002,0,1.0,2,1,0,0.32099998,0,0.8888889,0,1
63,0.0,0,0.20799999,0,1.0,2,1,0,0.27899998,0,0.7518797,0,1
64,0.0,0,0.246,0,1.0,2,2,0,0.317,0,0.89403975,0,1
65,0.0,1,0.26,1,1.0,2,1,0,0.285,0,0.65,0,1
66,0.0,0,0.24,0,1.0,2,2,0,0.365,0,0.9403973,0,1
67,1.0,0,0.314,0,1.0,1,4,0,0.337,0,0.42553192,0,1
68,1.0,0,0.27,0,0.0,1,1,0,0.35,0,0.6785714,0,1
69,1.0,0,0.289,0,0.0,2,2,0,0.352,0,0.88461536,0,1
70,1.0,0,0.28,0,1.0,1,1,0,0.35,0,0.9391892,0,1
71,0.0,0,0.25100002,0,1.0,2,1,0,0.344,0,0.902439,0,1
72,0.0,0,0.28,0,0.0,2,1,0,0.28,0,0.738255,0,1
73,0.0,0,0.225,0,1.0,2,2,0,0.378,0,0.8994709,0,1
74,0.0,0,0.19399999,0,1.0,2,2,0,0.258,0,0.6779661,0,1
75,0.0,0,0.081999995,1,1.0,1,2,0,0.218,0,0.8021978,0,1
76,0.0,0,0.17,0,1.0,1,1,0,0.23,0,0.55307263,0,1
77,0.0,0,0.285,0,1.0,2,1,0,0.285,0,0.65156794,0,1
78,0.0,0,0.265,0,1.0,2,2,1,0.265,1,0.83516484,1,0
79,0.0,0,0.24,0,0.0,4,1,0,0.36,0,0.78431374,0,1
80,0.0,0,0.27,0,1.0,1,1,0,0.272,0,0.6666667,0,1
81,0.0,0,0.22,1,0.0,1,2,0,0.36,0,0.8011364,0,1
82,0.0,1,0.31,0,1.0,2,4,0,0.31,1,0.88235295,0,0
83,0.0,0,0.289,0,0.0,2,2,0,0.35900003,1,0.9029851,0,0
84,0.0,0,0.244,0,1.0,1,2,0,0.397,0,0.6603774,0,1
85,0.0,0,0.26,1,1.0,1,2,0,0.34,0,0.7467533,0,1
86,0.0,1,0.213,0,1.0,2,2,0,0.219,1,0.7676768,0,0
87,1.0,0,0.32,0,0.0,2,1,0,0.32,0,0.85,0,1
88,0.0,0,0.24,0,1.0,2,1,0,0.32,0,0.94814813,0,1
89,0.0,0,0.28,0,0.0,2,1,0,0.28,0,0.4347826,0,1
90,0.0,1,0.32,0,1.0,2,3,0,0.38799998,1,0.8881119,0,0
91,1.0,0,0.18,0,0.0,2,1,0,0.25,0,0.7826087,0,1
92,0.0,0,0.25,0,1.0,1,1,0,0.34,0,0.8,0,1
93,0.0,0,0.22,0,0.0,2,2,0,0.32,0,0.7305936,0,1
94,0.0,0,0.256,1,1.0,2,1,0,0.312,0,0.7922078,0,1
95,0.0,0,0.31,0,0.0,2,1,0,0.33,0,0.5802469,0,1
96,0.0,0,0.31,0,1.0,2,2,0,0.32,0,0.6363636,0,1
97,0.0,0,0.3,0,1.0,1,2,0,0.38,0,0.87647057,0,1
98,0.0,0,0.2,0,1.0,2,1,0,0.32,0,0.7969925,0,1
99,0.0,0,0.22,0,1.0,2,1,0,0.23,0,0.9222222,0,1
100,0.0,0,0.27,0,1.0,2,2,0,0.27,0,0.75126904,0,1
101,1.0,0,0.314,0,0.0,1,5,0,0.314,0,0.6666667,0,1
102,0.0,0,0.23,0,0.0,2,3,0,0.35,0,0.8518519,0,1
103,1.0,0,0.27,1,0.0,2,2,0,0.32,0,0.74336284,0,1
104,0.0,0,0.102,0,1.0,1,1,0,0.35799998,0,0.8,0,1
105,0.0,0,0.33,0,0.0,2,1,0,0.35,1,0.9296875,1,0
106,1.0,0,0.24,0,1.0,2,3,0,0.34,0,0.92253524,0,1
107,0.0,0,0.22,1,0.0,2,2,0,0.31,0,0.8,0,1
108,0.0,0,0.21,0,1.0,3,3,0,0.29,0,0.7032258,0,1
109,0.0,0,0.39,0,1.0,2,1,0,0.61,1,0.5555556,0,0
110,0.0,0,0.22600001,0,1.0,1,1,0,0.26299998,0,0.62540716,0,1
111,0.0,0,0.258,0,0.0,2,2,0,0.262,0,0.6870229,0,1
112,0.0,0,0.289,0,1.0,2,1,0,0.36,0,0.7875,0,1
113,0.0,0,0.31,1,0.0,1,2,0,0.46,1,1.1055555,0,0
114,0.0,0,0.218,0,1.0,2,1,0,0.305,0,0.6666667,0,1
115,0.0,0,0.28,0,0.0,2,2,0,0.384,0,0.50666666,0,1
116,0.0,0,0.215,1,1.0,2,1,0,0.264,0,0.7881773,0,1
117,0.0,0,0.309,0,1.0,1,1,0,0.33,0,0.30232558,0,1
118,1.0,1,0.31,1,0.0,2,3,0,0.47,1,0.89261746,0,0
119,0.0,0,0.18,0,1.0,2,1,0,0.19,0,0.73888886,0,1
120,0.0,0,0.3,0,0.0,2,4,0,0.3,0,0.8947368,0,1
121,0.0,0,0.26,0,1.0,1,1,0,0.36,0,0.7386364,0,1
122,1.0,0,0.26,0,0.0,2,1,0,0.33,0,0.7,0,1
123,0.0,0,0.23,0,0.0,2,1,0,0.23,0,0.7368421,0,1
124,0.0,0,0.34,0,1.0,1,3,0,0.41,0,0.8,0,1
125,1.0,0,0.3,0,1.0,2,2,0,0.36,0,0.9506173,0,1
126,0.0,0,0.33,0,1.0,2,1,0,0.41,1,0.6945946,0,0
127,0.0,0,0.33,0,1.0,2,1,0,0.33,0,0.6818182,0,1
128,1.0,0,0.29,0,0.0,2,6,1,0.29,1,0.5714286,0,0
129,0.0,0,0.28,0,1.0,1,1,0,0.41,0,0.7867868,0,1
130,0.0,0,0.28,0,1.0,2,1,0,0.33,0,0.8978723,0,1
131,1.0,0,0.19,0,1.0,1,1,0,0.23,0,0.88917524,0,1
132,0.0,0,0.34,1,1.0,1,1,0,0.39,0,0.717037,0,1
133,0.0,0,0.15,1,1.0,1,5,0,0.39,0,0.79846936,0,1
134,0.0,0,0.24,0,1.0,1,1,0,0.27,0,0.8,0,1
135,0.0,0,0.142,1,0.0,1,1,0,0.384,0,0.8,0,1
136,0.0,1,0.277,0,0.0,2,6,0,0.382,0,0.8041237,0,1
