spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
160ea1958c6b4df18a3a23c575a0c45b,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""ddda32c01210474b90067b31a6bf930e""
    },
    {
      ""id"": ""d309c502f5d148d98fcbeb83f56abba8""
    },
    {
      ""id"": ""5a9714c5227643b7b42175a4bad47052""
    },
    {
      ""id"": ""ca2ff497e3c7463cb648971529d33d95""
    },
    {
      ""id"": ""e56c81fc5f5b4e0da61144a44b272e3b""
    },
    {
      ""id"": ""6ef9483be7c442058d94098e7f6d22c6""
    },
    {
      ""id"": ""34ea4e7aca194cd8b1b8901a80821c24""
    },
    {
      ""id"": ""2bc137b95040464c914e5d63422c3b1a""
    },
    {
      ""id"": ""d8c4f2d7a0f1429994b11ff9fe4bfea5""
    },
    {
      ""id"": ""61630bb164cc480bb607ff0ed467a21c""
    },
    {
      ""id"": ""1f64feb4c95d4147bc5dffef5e7b9924""
    },
    {
      ""id"": ""36d57be1d9814402873737655f33969b""
    },
    {
      ""id"": ""92c6fdc937cf43abb19a8522dd072a91""
    },
    {
      ""id"": ""5f4e10b1ec5946d7b97f49f23fc0b772""
    },
    {
      ""id"": ""59ad9ea932fa4348a1582646e756b99f""
    },
    {
      ""id"": ""d1888d0ebf27405bb6bd9e059292b39a""
    },
    {
      ""id"": ""d29c9c23e52540f78d8cc0f779e758e9""
    },
    {
      ""id"": ""d7e9ac1cb8a346fbb9c7294a8e9835a4""
    },
    {
      ""id"": ""6db7948c98e24183968a67c6e75b7375""
    },
    {
      ""id"": ""fcd13ada216f4d86bd636a28eedebcc1""
    },
    {
      ""id"": ""0c0e61bc09c94e37830fbdb3732895dd""
    },
    {
      ""id"": ""dca701a863014a809c69dfd47c568ab7""
    },
    {
      ""id"": ""617e7a2553e64ae6a7410e54ad754a2a""
    },
    {
      ""id"": ""b98cc773dde146669f73ecdb40f8636a""
    },
    {
      ""id"": ""d14df1f798bb456db49a8fe9efbfefd2""
    },
    {
      ""id"": ""503cf7de684a47bc8aac2f1299481b8d""
    },
    {
      ""id"": ""3dedd27d9cbe4c6998e5be1cc62ba758""
    },
    {
      ""id"": ""1329df7e1e0040de8df1c79b183dea7b""
    },
    {
      ""id"": ""16e4deeb513a4603a577f802c3205bf8""
    },
    {
      ""id"": ""ed1738bdbe744f7eb1750ef5210e6285""
    },
    {
      ""id"": ""ca46ab1193b3464d839f9604b03e47cc""
    },
    {
      ""id"": ""daaf64c7e357417ba503da8f23127a35""
    },
    {
      ""id"": ""2751a4165b184a839569c2e607fabdb0""
    },
    {
      ""id"": ""a983dcd8bc614c8d8ffbe34ae745130a""
    },
    {
      ""id"": ""89b9ef2a98ba4669a5693c8b12aabd01""
    },
    {
      ""id"": ""c96ab93aac5a4013a4b149b8495d6579""
    },
    {
      ""id"": ""9fc5a39b017b4ee1aa31843c1169d739""
    },
    {
      ""id"": ""f91ee5624e5541b8a1e1f60ed1a12316""
    },
    {
      ""id"": ""ee05fa69f39f48acafeedf05e35bfbe5""
    },
    {
      ""id"": ""fcf29512193440409973c9012179cd9e""
    },
    {
      ""id"": ""26c8d15440dd40899f94c57ffd5b6185""
    },
    {
      ""id"": ""9abc336f5ddb40d895933fe8b736a80b""
    },
    {
      ""id"": ""28de9b3d48244765bc5484f133d34699""
    },
    {
      ""id"": ""c0dc9ca9f5674f01b00bf5089702cd64""
    },
    {
      ""id"": ""cb93b5344fc546839cc19007a3a2ba5c""
    },
    {
      ""id"": ""9d4f0a953ea241539f290cc2a8e3b25a""
    },
    {
      ""id"": ""8aaf7ef1bc794824af041539b590bb0f""
    },
    {
      ""id"": ""b94270c7341e4d5faeebb6935e8520f8""
    },
    {
      ""id"": ""32d21ba216104e378119e5438a8d36ab""
    },
    {
      ""id"": ""2a0ed4daddd84681b351c91e1db68156""
    },
    {
      ""id"": ""7662793d4d414defac785145eb47cc85""
    },
    {
      ""id"": ""6af9748258b245b196119e9916a22101""
    },
    {
      ""id"": ""0d1855305b6044598a01082a80cacf9c""
    },
    {
      ""id"": ""2eda9ff4401c4f8e9321540ca1ca9bff""
    },
    {
      ""id"": ""7104a589eb014addac134086d5a493ae""
    },
    {
      ""id"": ""7bfd59c1f83a4063a9e9559fe7860c55""
    },
    {
      ""id"": ""295b18bcb6cf4478be6e80ee74831e52""
    },
    {
      ""id"": ""4e1a2609efbf4673bc428f7f36b13fa7""
    },
    {
      ""id"": ""96e6ea3ec3a8446193776a6bbb318860""
    },
    {
      ""id"": ""7f1e2cc54b42493ca900447baa883469""
    },
    {
      ""id"": ""5c72159613424c89beef988431b10953""
    },
    {
      ""id"": ""0c1ac0d6f61f477199b5e38ef0a55646""
    },
    {
      ""id"": ""4770b1f7d9ed4692adc30b3f9949c1ec""
    },
    {
      ""id"": ""06536620766241dc9941dfeaccb55be5""
    },
    {
      ""id"": ""88d10f77fac64097a7208e04fc0089a2""
    },
    {
      ""id"": ""102b6ecede0245b89658236556f54ff8""
    },
    {
      ""id"": ""9bbc856dd6654bf283f48338fcbfb74d""
    },
    {
      ""id"": ""0587b4cbb2c84864854f595fc69a6dc9""
    },
    {
      ""id"": ""6ecb83e1e73e41d9b7784a649b4e5150""
    },
    {
      ""id"": ""1c84893e202a488b894c5773786838e2""
    },
    {
      ""id"": ""0468b8085e4b40faa07a1216db872e12""
    },
    {
      ""id"": ""53a2e26690e74edcb6412e7981887d35""
    },
    {
      ""id"": ""006052cb17f3413d83b92da6dcc2a388""
    },
    {
      ""id"": ""53631d9c26f24d569f2d032903e62b7d""
    },
    {
      ""id"": ""d139231896ba4fd8818edd566eaee45b""
    },
    {
      ""id"": ""3c9043337afd49ee8b356591482caf64""
    },
    {
      ""id"": ""35bfb95932204c1a93c7220f2cc13ac5""
    },
    {
      ""id"": ""6a637d8c19104c0aa159ba03037d6750""
    },
    {
      ""id"": ""f5a62d675f3940ae9f35b034ed92a0d5""
    },
    {
      ""id"": ""d19bed606fb043e88d0369e28d4f0dfc""
    },
    {
      ""id"": ""0187a2dac84348f3b9b1cde7c50b02bc""
    },
    {
      ""id"": ""ae4363507551455483c96e43931033af""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""ddda32c01210474b90067b31a6bf930e""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""d309c502f5d148d98fcbeb83f56abba8""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""7104a589eb014addac134086d5a493ae""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""e56c81fc5f5b4e0da61144a44b272e3b""
    },
    {
      ""source"": ""ddda32c01210474b90067b31a6bf930e"",
      ""target"": ""34ea4e7aca194cd8b1b8901a80821c24""
    },
    {
      ""source"": ""ddda32c01210474b90067b31a6bf930e"",
      ""target"": ""6ef9483be7c442058d94098e7f6d22c6""
    },
    {
      ""source"": ""ddda32c01210474b90067b31a6bf930e"",
      ""target"": ""2bc137b95040464c914e5d63422c3b1a""
    },
    {
      ""source"": ""ddda32c01210474b90067b31a6bf930e"",
      ""target"": ""d8c4f2d7a0f1429994b11ff9fe4bfea5""
    },
    {
      ""source"": ""ddda32c01210474b90067b31a6bf930e"",
      ""target"": ""61630bb164cc480bb607ff0ed467a21c""
    },
    {
      ""source"": ""d309c502f5d148d98fcbeb83f56abba8"",
      ""target"": ""d8c4f2d7a0f1429994b11ff9fe4bfea5""
    },
    {
      ""source"": ""d309c502f5d148d98fcbeb83f56abba8"",
      ""target"": ""61630bb164cc480bb607ff0ed467a21c""
    },
    {
      ""source"": ""5a9714c5227643b7b42175a4bad47052"",
      ""target"": ""1f64feb4c95d4147bc5dffef5e7b9924""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
ddda32c01210474b90067b31a6bf930e,,,"{""time_stamp"": ""08-13-2024 at 06:00:15 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Transforming 'sex' columns to binary, male == 0, female == 1"", ""spec_name"": ""sex_binary"", ""trans_verb"": [""derive""], ""code"": ""df['sex_female'] = df['sex'].map({'m': 0, 'f': 1})"", ""rationale"": ""Easier transformations with numeric variables"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""sex""], ""sex_female""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
d309c502f5d148d98fcbeb83f56abba8,,,"{""time_stamp"": ""08-13-2024 at 06:01:43 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Transforming 'help' columns to binary, No == 0, Yes == 1"", ""spec_name"": ""help_binary"", ""trans_verb"": [""derive""], ""code"": ""df['help_yes'] = df['help'].map({'N': 0, 'y': 1})"", ""rationale"": ""Easier transformations with numeric variables"", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""help""], ""help_yes""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
2a2e43dc2e3842808243126aadb89f19,,"{""time_stamp"": ""06-05-2024 at 08:11:50 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""DV"", ""concept"": ""Nuts Opened Count"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 nuts_opened""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 nuts_opened"": ""The number of nuts opened by the chimpanzee.""}, ""interaction"": false, ""rationale"": ""The number of nuts opened by the chimpanzee."", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
7ab254f9cbf14f5cba387175ecbf3b14,,"{""time_stamp"": ""06-05-2024 at 08:12:16 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""Age"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 age""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 age"": ""Development and physical capabilities can influence the efficiency of nut-cracking.""}, ""interaction"": false, ""rationale"": ""Age of the chimpanzee in years."", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
7f7954c94a4a40fda6feac04204712e2,,"{""time_stamp"": ""08-14-2024 at 12:36:56 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Hammer Types"", ""final_columns_derived_spec_ids"": [""ROOT_SPEC_ID"", ""7104a589eb014addac134086d5a493ae"", ""e56c81fc5f5b4e0da61144a44b272e3b""], ""final_columns_orig"": [], ""final_columns_derived"": [""\ud83d\udfe9 hammer_final""], ""final_columns_leaf_spec_ids"": [""e56c81fc5f5b4e0da61144a44b272e3b"", ""7104a589eb014addac134086d5a493ae""], ""column_rationales"": {""\ud83d\udfe9 L"": ""Different tools might have varying efficiencies in cracking nuts, hence need to be controlled for in the analysis."", ""\ud83d\udfe9 Q"": ""Different tools might have varying efficiencies in cracking nuts, hence need to be controlled for in the analysis."", ""\ud83d\udfe9 wood"": ""Different tools might have varying efficiencies in cracking nuts, hence need to be controlled for in the analysis."", ""\ud83d\udfe9 hammer_Q"": ""dummy variable represents hammer type Q"", ""\ud83d\udfe9 hammer_L"": ""dummy variable represents hammer type L"", ""\ud83d\udfe9 hammer_G"": ""dummy variable represents hammer type G"", ""\ud83d\udfe9 hammer_wood"": ""dummy variable represents hammer type wood"", ""\ud83d\udfe9 hammer_O"": """", ""\ud83d\udfe9 hammer_other"": ""dummy variable represents hammer  with small counts (others, including L, Q, wood)"", ""\ud83d\udfe8 hammer"": """", ""\ud83d\udfe9 hammer_final"": ""Hammer type""}, ""interaction"": false, ""rationale"": ""Dummy variables for different hammer types (G, L, Q, wood, O)."", ""on"": """", ""random_effect"": false, ""annotator"": null}",,,,,
ccc689b4279a48a289cc3352547ebac8,,,,,,"{""time_stamp"": ""06-13-2024 at 07:57:53 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": ""Though including interaction terms may increase model complexity, which can lead to issues like multicollinearity or overfitting, especially in smaller dataset such as panda_nuts, I would still accept the interaction term of age and help. Because it makes sense in terms of chimpanzee sociology. Moreover, from the basic OLS model perspective, the interaction term consisting of age and help does have the potential to contribute to the model."", ""annotator_is_rationale_reasonable"": ""Yes"", ""rationale"": ""The interaction between the age of the chimpanzee and whether they received help from another chimpanzee might have a moderating effect on the nut-cracking efficiency. This interaction is reasonable for the analysis considering the specifics of the research question and dataset."", ""annotator"": null, ""variable_type"": ""Control"", ""concept"": ""Interaction between age and help"", ""columns"": [""age"", ""help""], ""interaction"": true, ""on"": ""Nut-cracking efficiency"", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Yes"", ""associated_cv_spec_id"": null}",
48a1e12e99804ff98701f60f836f7adb,,,,,,"{""time_stamp"": ""06-13-2024 at 07:57:53 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": ""Not sure about the way to calculate the efficiency. I suppose it is to divide the \""seconds\"" column by the \""nuts_opened\"" column."", ""annotator_is_rationale_reasonable"": ""Yes"", ""rationale"": ""Efficiency of nut cracking"", ""annotator"": null, ""variable_type"": ""DV"", ""concept"": ""Nut-cracking efficiency"", ""columns"": [""seconds"", ""nuts_opened""], ""interaction"": false, ""on"": """", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Yes"", ""associated_cv_spec_id"": ""38768787ea854aa9966642d43c7491a3""}",
0ca3a6083a5e40a1b7c50e91f244611e,,,,,,"{""time_stamp"": ""06-13-2024 at 07:57:53 PM"", ""annotator_labeled"": false, ""annotator_label"": null, ""annotator_explanation"": ""Agree. Physiological differences brought about by gender need to be taken into account."", ""annotator_is_rationale_reasonable"": ""Yes"", ""rationale"": ""Sex of chimpanzee affects the physical abilities of the chimpanzee"", ""annotator"": null, ""variable_type"": ""Control"", ""concept"": ""Sex of chimpanzee"", ""columns"": [""sex""], ""interaction"": false, ""on"": """", ""can_derive_from_data"": ""Yes"", ""is_reasonable"": ""Yes"", ""associated_cv_spec_id"": ""94b4c5e1cd6d4711a5f465d5f81b9224""}",
