chimpanzee,age,sex,hammer,nuts_opened,seconds,help
11,3,m,G,0,61.0,N
11,3,m,G,0,37.0,N
18,4,f,wood,0,20.0,N
18,4,f,G,0,14.0,y
18,4,f,L,0,13.0,N
11,4,m,Q,0,24.0,N
11,4,m,Q,0,30.5,N
17,5,f,wood,0,135.0,N
7,5,m,G,3,24.0,N
1,5,m,L,0,13.0,N
22,5,m,wood,0,34.0,N
9,6,m,G,58,66.5,N
9,6,m,G,4,5.0,N
9,6,m,G,21,24.0,N
9,6,m,G,9,20.0,N
9,6,m,G,2,6.0,N
9,6,m,G,30,42.0,N
9,6,m,G,19,43.0,N
9,6,m,G,13,26.5,N
9,6,m,G,6,14.0,N
15,6,m,G,11,27.0,N
7,6,m,G,1,12.0,y
9,6,m,G,2,17.0,N
1,6,m,L,0,4.0,N
7,6,m,G,1,17.0,N
13,6,m,wood,0,17.0,N
13,6,m,G,0,15.0,N
7,6,m,G,0,12.0,y
13,6,m,G,0,23.0,y
7,6,m,wood,0,47.0,N
3,7,f,G,4,23.0,N
3,7,f,L,0,16.0,N
3,7,f,L,0,13.5,N
19,7,m,G,8,16.0,N
9,7,m,G,10,23.5,N
9,7,m,G,11,33.0,N
9,7,m,G,1,3.0,N
16,8,f,G,4,12.0,N
2,8,f,G,2,10.5,N
2,8,f,G,1,12.0,N
16,8,f,G,0,7.5,N
16,8,f,G,0,32.0,N
9,8,m,G,36,38.0,N
19,8,m,G,4,9.0,y
9,8,m,G,16,13.0,N
9,8,m,G,77,59.0,N
9,8,m,G,41,40.0,N
19,8,m,G,22,36.0,N
9,8,m,G,49,51.0,N
19,8,m,G,37,60.0,N
19,8,m,G,31,71.0,y
19,8,m,G,11,14.0,N
9,8,m,G,5,10.0,N
19,8,m,G,8,33.0,y
9,8,m,L,0,11.0,N
4,9,f,G,1,4.5,N
4,9,f,wood,0,17.0,N
9,9,m,G,30,47.0,N
9,9,m,G,13,24.0,N
9,9,m,G,15,34.5,N
4,10,f,G,0,2.5,N
8,11,f,G,4,13.0,N
14,12,f,G,10,10.0,N
21,13,f,G,5,13.0,N
12,13,m,G,51,43.0,N
5,13,m,G,3,6.0,N
5,13,m,G,4,6.5,N
20,14,m,G,50,50.0,N
20,14,m,G,36,48.0,N
20,14,m,G,6,14.5,N
20,14,m,G,3,8.5,N
20,14,m,G,4,15.0,N
20,14,m,G,7,17.0,N
20,15,m,G,41,56.5,N
10,15,m,G,27,33.0,N
6,15,m,G,30,36.0,N
20,15,m,G,17,42.0,N
20,15,m,G,14,23.0,N
6,15,m,G,16,20.0,N
10,15,m,G,7,12.0,N
10,15,m,G,5,12.5,N
6,15,m,G,8,13.0,N
6,16,m,G,24,20.0,N
6,16,m,G,25,36.0,N
