spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
b4bb6c2266504185af017d69318a4b83,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""d1414a01b9e0476dbe7c0b7d214bea22""
    },
    {
      ""id"": ""291daafd43454a398ad4a3a4abeb44b7""
    },
    {
      ""id"": ""8df8396bef284aa9a0ff2caaf9376f60""
    },
    {
      ""id"": ""3702bcbfd7684b42b9ef97268178a178""
    },
    {
      ""id"": ""bdf10779309646dfbd8b91252d15f747""
    },
    {
      ""id"": ""d0fe810d3fe54356ad6db0e24de14a7f""
    },
    {
      ""id"": ""28644781f9ca4d22a0b0595bb6ceee17""
    },
    {
      ""id"": ""d7a5c84f58824a2f910f510f415f6887""
    },
    {
      ""id"": ""a205202a091640f5b918d9c17c237d27""
    },
    {
      ""id"": ""81b3ea5cb54a47dda662aded5d5ddc0b""
    },
    {
      ""id"": ""ed67e0ac38a74c679f6abc8922e8d28e""
    },
    {
      ""id"": ""6a1a3c4448754d0183b988e1a6fec33c""
    },
    {
      ""id"": ""2ed24f165847454dad78a57e97292fde""
    },
    {
      ""id"": ""23ba5db22c324918b849a063a8f35d0e""
    },
    {
      ""id"": ""28c15de2bb464afea77998b4e64038db""
    },
    {
      ""id"": ""a4893bbe465447e8bef66a929615e8a5""
    },
    {
      ""id"": ""b74a2c6991cc49e18d4bd5f54175dfcb""
    },
    {
      ""id"": ""04c60b9fbb074e0fa1ec9b3a88595489""
    },
    {
      ""id"": ""2e4564ea850c476ebc18906387f35851""
    },
    {
      ""id"": ""dd0da9a8cdc2467d8d146643db8a09a3""
    },
    {
      ""id"": ""f7d3493784664cea92853163e10a8e6c""
    },
    {
      ""id"": ""bab8894fa60a421597e20194590c1cd9""
    },
    {
      ""id"": ""33ad4696c08d4501962f911553a6e1b7""
    },
    {
      ""id"": ""ef6cf9be41584fd293c444d38029c61f""
    },
    {
      ""id"": ""ed5a27cba11b4af68c8233fc1d247c5b""
    },
    {
      ""id"": ""8aa06daa1e95442291785c24cd4c9ebb""
    },
    {
      ""id"": ""9f3c206f585a42f4b0b4055f5e50cd21""
    },
    {
      ""id"": ""c58c1cb802674ce293aae0ef6753617a""
    },
    {
      ""id"": ""605c137130f54ac09d50fbdce5241d6c""
    },
    {
      ""id"": ""986b32e9c88e47e785e0a2f0873b7fe4""
    },
    {
      ""id"": ""98a3f6ed962b48a99855b0d4c02b80dc""
    },
    {
      ""id"": ""274380b9e1f840d2a1b51c69851da1c2""
    },
    {
      ""id"": ""fb6864c59fe847e1a910658d1a679b55""
    },
    {
      ""id"": ""3a4aec62a0e04a2da2cf6ae8dbf254b4""
    },
    {
      ""id"": ""121b0aff79f345708af9a1359912e41b""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""f7d3493784664cea92853163e10a8e6c""
    },
    {
      ""source"": ""23ba5db22c324918b849a063a8f35d0e"",
      ""target"": ""121b0aff79f345708af9a1359912e41b""
    },
    {
      ""source"": ""28c15de2bb464afea77998b4e64038db"",
      ""target"": ""a4893bbe465447e8bef66a929615e8a5""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""2ed24f165847454dad78a57e97292fde""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""6a1a3c4448754d0183b988e1a6fec33c""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""ed67e0ac38a74c679f6abc8922e8d28e""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""81b3ea5cb54a47dda662aded5d5ddc0b""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""a205202a091640f5b918d9c17c237d27""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""d7a5c84f58824a2f910f510f415f6887""
    },
    {
      ""source"": ""a4893bbe465447e8bef66a929615e8a5"",
      ""target"": ""28644781f9ca4d22a0b0595bb6ceee17""
    },
    {
      ""source"": ""b74a2c6991cc49e18d4bd5f54175dfcb"",
      ""target"": ""bdf10779309646dfbd8b91252d15f747""
    },
    {
      ""source"": ""b74a2c6991cc49e18d4bd5f54175dfcb"",
      ""target"": ""3702bcbfd7684b42b9ef97268178a178""
    },
    {
      ""source"": ""b74a2c6991cc49e18d4bd5f54175dfcb"",
      ""target"": ""8df8396bef284aa9a0ff2caaf9376f60""
    },
    {
      ""source"": ""b74a2c6991cc49e18d4bd5f54175dfcb"",
      ""target"": ""291daafd43454a398ad4a3a4abeb44b7""
    },
    {
      ""source"": ""b74a2c6991cc49e18d4bd5f54175dfcb"",
      ""target"": ""d1414a01b9e0476dbe7c0b7d214bea22""
    },
    {
      ""source"": ""f7d3493784664cea92853163e10a8e6c"",
      ""target"": ""bab8894fa60a421597e20194590c1cd9""
    },
    {
      ""source"": ""f7d3493784664cea92853163e10a8e6c"",
      ""target"": ""23ba5db22c324918b849a063a8f35d0e""
    },
    {
      ""source"": ""f7d3493784664cea92853163e10a8e6c"",
      ""target"": ""28c15de2bb464afea77998b4e64038db""
    },
    {
      ""source"": ""f7d3493784664cea92853163e10a8e6c"",
      ""target"": ""b74a2c6991cc49e18d4bd5f54175dfcb""
    },
    {
      ""source"": ""bab8894fa60a421597e20194590c1cd9"",
      ""target"": ""33ad4696c08d4501962f911553a6e1b7""
    },
    {
      ""source"": ""33ad4696c08d4501962f911553a6e1b7"",
      ""target"": ""ef6cf9be41584fd293c444d38029c61f""
    },
    {
      ""source"": ""33ad4696c08d4501962f911553a6e1b7"",
      ""target"": ""9f3c206f585a42f4b0b4055f5e50cd21""
    },
    {
      ""source"": ""33ad4696c08d4501962f911553a6e1b7"",
      ""target"": ""ed5a27cba11b4af68c8233fc1d247c5b""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
32d9aa2a52d442e09101e8e8c54a7978,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""DV"", ""concept"": ""How long participants spent on each webpage minus scrolling duration in milliseconds"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 adjusted_running_time""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 adjusted_running_time"": ""Measuring the actual time spent in reading each webpage""}, ""interaction"": false, ""rationale"": """", ""on"": """", ""random_effect"": false}",,,,,
1f32cc87ea55437ead7d24af7b680241,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""IV"", ""concept"": ""Indicates if the reader view was activated or not"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 reader_view""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 reader_view"": ""Independent variable for the research question""}, ""interaction"": false, ""rationale"": """", ""on"": """", ""random_effect"": false}",,,,,
68105eb307524966b3eae7592922696e,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Number of words on the page"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 num_words""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 num_words"": ""It may not be a confounder, but it can be included for covariate adjustments for linear regression.""}, ""interaction"": false, ""rationale"": ""It may not be a confounder, but it can be included for covariate adjustments for linear regression."", ""on"": """", ""random_effect"": false}",,,,,
272a5605c44a4bda94e4c5064ddc595b,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Rate of correct answers to comprehension questions after reading"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 correct_rate""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 correct_rate"": ""It might be a potential mediator.""}, ""interaction"": false, ""rationale"": ""It might be a potential mediator."", ""on"": """", ""random_effect"": false}",,,,,
db29791739f147619585d943b81daf85,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Width of the image on the page"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 img_width""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 img_width"": ""It could be a potential confounder.""}, ""interaction"": false, ""rationale"": ""It could be a potential confounder."", ""on"": """", ""random_effect"": false}",,,,,
0777eada99e74c0cae36510ea53ba33b,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Age of the reader"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 age""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 age"": ""It may not be a confounder, but it can be included for covariate adjustments for linear regression.""}, ""interaction"": false, ""rationale"": ""It may not be a confounder, but it can be included for covariate adjustments for linear regression."", ""on"": """", ""random_effect"": false}",,,,,
412748d5ad3c446ca7a1361b566809fa,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Indicates if the trial was a retake or not"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 retake_trial""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 retake_trial"": ""It could be a potential confounder.""}, ""interaction"": false, ""rationale"": ""It could be a potential confounder."", ""on"": """", ""random_effect"": false}",,,,,
fe73559f08e8411890a0fb99f932a0be,,"{""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""variable_type"": ""Control"", ""concept"": ""Indicates if the reader has dyslexia or not"", ""final_columns_derived_spec_ids"": [], ""final_columns_orig"": [""\ud83d\udfe8 dyslexia_bin""], ""final_columns_derived"": [], ""final_columns_leaf_spec_ids"": [], ""column_rationales"": {""\ud83d\udfe8 dyslexia_bin"": ""It could be a potential confounder.""}, ""interaction"": false, ""rationale"": ""It could be a potential confounder."", ""on"": """", ""random_effect"": false}",,,,,
