uuid,page_id,reader_view,running_time,adjusted_running_time,scrolling_time,num_words,correct_rate,img_width,age,device,dyslexia,education,gender,language,retake_trial,dyslexia_bin,english_native,Flesch_Kincaid,speed
0010d921-1f71-4511-834a-55096185fabb,2-1,0,28152,26435,1717,145,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,8.337,329.1091356
0010d921-1f71-4511-834a-55096185fabb,1-2,1,60796,43012,17784,383,1.0,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,10.485,534.2695062
0010d921-1f71-4511-834a-55096185fabb,3-1,0,40283,22518,17765,106,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,11.081,282.4407141
0010d921-1f71-4511-834a-55096185fabb,1-1,0,64213,62798,1415,324,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,9.6,309.5639989
0010d921-1f71-4511-834a-55096185fabb,3-2,1,23086,10022,13064,120,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,10.697,718.4194772
0010d921-1f71-4511-834a-55096185fabb,2-2,1,26912,23811,3101,166,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,7.638,418.2940658
001d6664-0e5d-401b-bfd9-c2985739e2ca,1-1,0,102356,40362,61994,324,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,9.6,481.6411476
001d6664-0e5d-401b-bfd9-c2985739e2ca,2-1,1,57687,47505,10182,145,0.6666666667,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,8.337,183.138617
001d6664-0e5d-401b-bfd9-c2985739e2ca,1-2,1,97241,40176,57065,383,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,10.485,571.9832736
001d6664-0e5d-401b-bfd9-c2985739e2ca,3-1,1,38521,25074,13447,106,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,11.081,253.6491984
001d6664-0e5d-401b-bfd9-c2985739e2ca,2-2,0,51351,46107,5244,166,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,7.638,216.0192595
001d6664-0e5d-401b-bfd9-c2985739e2ca,3-2,0,40730,14319,26411,120,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,10.697,502.8284098
0023cb4d-a3f6-4163-8761-a07914b40754,2-2,0,38015,32047,5968,166,1.0,1150,21.0,laptop,0.0,high school,1.0,Other,0.0,0.0,N,7.638,310.793522
