spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
5ba9b3c233f745e1abae11c10db99266,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""82121faef295492ca0d32af6d21d9b89""
    },
    {
      ""id"": ""ea4945fa39fd4800ad2aaf19415cb342""
    },
    {
      ""id"": ""52cf40d969fb44c6910a2f0df44b47a6""
    },
    {
      ""id"": ""5a98a0a59d0f4726b566b57b1ac1e951""
    },
    {
      ""id"": ""d1110208133b4225a2ffa69f1f5f3418""
    },
    {
      ""id"": ""b0412a0acb1a4dadb224cc479bf9ba07""
    },
    {
      ""id"": ""5e616bd092f9477bb93555a685fcd522""
    },
    {
      ""id"": ""88a0383223d948338bda9cba4b51aaeb""
    },
    {
      ""id"": ""19388e9346294fbbaf17a2fd6b4d71af""
    },
    {
      ""id"": ""d5da7998b05f45dabf7705ea74361176""
    },
    {
      ""id"": ""d9bb30e3b3274e9f9c65d94882db824a""
    },
    {
      ""id"": ""8f64dd94caed43f3a784c42cf90770ab""
    },
    {
      ""id"": ""42b44f1271bb424c8ea4e6fb95c35538""
    },
    {
      ""id"": ""57f409ce4b094b578d85a4b9b0fe8493""
    },
    {
      ""id"": ""1bd8dbeeb6e64196aabd65557edef8ae""
    },
    {
      ""id"": ""fe93c2f7b9224c51805c01a816c8aa8e""
    },
    {
      ""id"": ""bca7328d9ecf41f390d735cb331d4a6d""
    },
    {
      ""id"": ""a578e53007ea44b6bc3fc5d368dce254""
    },
    {
      ""id"": ""495b7db3b6274b81bda8277e0a69a11e""
    },
    {
      ""id"": ""8dad2bee4e0d4113b2e2ee6848449f6c""
    },
    {
      ""id"": ""edccb89484aa4bc2a17639c1c7402628""
    },
    {
      ""id"": ""a3704d1d9dfe4a28843f8930d7ef45f1""
    },
    {
      ""id"": ""28283f23f2f548488e2b13a9b72f3c0d""
    },
    {
      ""id"": ""a584791866ee47acbd658e85ef88b402""
    },
    {
      ""id"": ""7b8c82026519441f8043b19997cbba82""
    },
    {
      ""id"": ""6ddfa30e0de34a1caed8d1fc7de07295""
    },
    {
      ""id"": ""ad706d71becb490094de1cb61bb8144f""
    },
    {
      ""id"": ""406fce3c69714585a879749a9a436109""
    },
    {
      ""id"": ""8f6fd7a964614d1eb8418d9bc8e36ebe""
    },
    {
      ""id"": ""416eab3d2b294ce390321129f41080a8""
    },
    {
      ""id"": ""d6ea8dc6496443398a7fe03b45eb49c8""
    },
    {
      ""id"": ""f2a325eddd624412a702e04960338283""
    },
    {
      ""id"": ""2b508b8bd61a4796882235cd6e7a92ac""
    },
    {
      ""id"": ""9b164686705048849bedde630fb475bd""
    },
    {
      ""id"": ""b08ce3bdd47b4118917c901505ac6207""
    },
    {
      ""id"": ""668078746b694f518c91a5909be4b145""
    },
    {
      ""id"": ""9f752f9334984b3ca4d16836cb728436""
    },
    {
      ""id"": ""efa788f98bdb4b66aa10768a34d31469""
    },
    {
      ""id"": ""3bd5c9374aae4c1bbf6cb63250b6983d""
    },
    {
      ""id"": ""3efb9481beac461693817c01a9cf2abd""
    },
    {
      ""id"": ""a135c759bcbb41b18f4813f4399f14ac""
    },
    {
      ""id"": ""18cd7094bab4414c83b57f2b91666e18""
    },
    {
      ""id"": ""7e281dd41efb43bba7c486d21b9a0800""
    },
    {
      ""id"": ""1586203651f448bda711057936926325""
    },
    {
      ""id"": ""d9121ad3401d4e0f975c71844c1409c9""
    },
    {
      ""id"": ""3d2b04bf091e42528a43684e1845c02f""
    },
    {
      ""id"": ""4107c1348d2b4018905a5f358f5e294f""
    },
    {
      ""id"": ""79b0327519f14b6a98d53b05d0df50da""
    },
    {
      ""id"": ""075621325a484de9b0c94b49c8b5351d""
    },
    {
      ""id"": ""215a96a498b7493b8e5c133aeff659b5""
    },
    {
      ""id"": ""b6fc1ebabfae409186e989a4cbecf6de""
    },
    {
      ""id"": ""5ce2a06bbb8a4085a6c66ea54e698921""
    },
    {
      ""id"": ""0e31df0c149b453bb2db92324fef311b""
    },
    {
      ""id"": ""30883779fb3647ce91178aac14b7df4c""
    },
    {
      ""id"": ""2eeb358af75b4336a40d2c0710e45046""
    },
    {
      ""id"": ""0c3b683a12814e73b45f232e4998521b""
    },
    {
      ""id"": ""8cb9f8bf89fe4da591296a13d20e049f""
    },
    {
      ""id"": ""5d2bb5a86986447abeb4608fe9f04bc2""
    },
    {
      ""id"": ""1d851c2c207c4ef79af7b1c799a987ff""
    },
    {
      ""id"": ""e4edbd42b2f442df8a8f0846ca0f6aae""
    },
    {
      ""id"": ""f35fb09b6b38478e983b16561be9b804""
    },
    {
      ""id"": ""44e96be2d4964b4b85ba01c983bbf3ad""
    },
    {
      ""id"": ""59e65321f89846e1a293ba1d81af86b2""
    },
    {
      ""id"": ""c592a68b95ee47bfbcf51583d4f668ae""
    },
    {
      ""id"": ""552e735c7645434680270583845eded0""
    },
    {
      ""id"": ""e046abde736f4b9fbdfed2b9e6b331ad""
    },
    {
      ""id"": ""6b26a4545f8d4bb789919dc668736603""
    },
    {
      ""id"": ""c67a792a732c45eb95287c5409aa6f99""
    },
    {
      ""id"": ""4739acc8f57c4eef983eb3b2f52ddae3""
    },
    {
      ""id"": ""21db99f997b14bd5a18d7e5a928fe2d1""
    },
    {
      ""id"": ""de2411a15fcd4ff38f065e4dd017289b""
    },
    {
      ""id"": ""d4eea5ea10ad4772a7d5f187d339d945""
    },
    {
      ""id"": ""17fb1e1adf974e14a008e34236d02c3c""
    },
    {
      ""id"": ""a74216e5e8874183bc57807e61d812d5""
    },
    {
      ""id"": ""253c9b28b703464cab04825c5e19c666""
    },
    {
      ""id"": ""ff5530db3e474497b0208abf5b45b064""
    },
    {
      ""id"": ""cc55354723944e3383a4384914be4167""
    },
    {
      ""id"": ""25b12c96f4c14ad5b4673444173194da""
    },
    {
      ""id"": ""6c36cd281fc64b119422eaece9c6696e""
    },
    {
      ""id"": ""fd92763db8e44d3b80d84759df9af7be""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""d9bb30e3b3274e9f9c65d94882db824a""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""57f409ce4b094b578d85a4b9b0fe8493""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""fe93c2f7b9224c51805c01a816c8aa8e""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""bca7328d9ecf41f390d735cb331d4a6d""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""edccb89484aa4bc2a17639c1c7402628""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""8dad2bee4e0d4113b2e2ee6848449f6c""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""a3704d1d9dfe4a28843f8930d7ef45f1""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""28283f23f2f548488e2b13a9b72f3c0d""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""1bd8dbeeb6e64196aabd65557edef8ae""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""a584791866ee47acbd658e85ef88b402""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""6ddfa30e0de34a1caed8d1fc7de07295""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""8f6fd7a964614d1eb8418d9bc8e36ebe""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""d6ea8dc6496443398a7fe03b45eb49c8""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""b0412a0acb1a4dadb224cc479bf9ba07""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""668078746b694f518c91a5909be4b145""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""82121faef295492ca0d32af6d21d9b89""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""52cf40d969fb44c6910a2f0df44b47a6""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""5a98a0a59d0f4726b566b57b1ac1e951""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""88a0383223d948338bda9cba4b51aaeb""
    },
    {
      ""source"": ""82121faef295492ca0d32af6d21d9b89"",
      ""target"": ""495b7db3b6274b81bda8277e0a69a11e""
    },
    {
      ""source"": ""82121faef295492ca0d32af6d21d9b89"",
      ""target"": ""d5da7998b05f45dabf7705ea74361176""
    },
    {
      ""source"": ""82121faef295492ca0d32af6d21d9b89"",
      ""target"": ""ea4945fa39fd4800ad2aaf19415cb342""
    },
    {
      ""source"": ""82121faef295492ca0d32af6d21d9b89"",
      ""target"": ""8f64dd94caed43f3a784c42cf90770ab""
    },
    {
      ""source"": ""82121faef295492ca0d32af6d21d9b89"",
      ""target"": ""2b508b8bd61a4796882235cd6e7a92ac""
    },
    {
      ""source"": ""52cf40d969fb44c6910a2f0df44b47a6"",
      ""target"": ""5e616bd092f9477bb93555a685fcd522""
    },
    {
      ""source"": ""52cf40d969fb44c6910a2f0df44b47a6"",
      ""target"": ""d1110208133b4225a2ffa69f1f5f3418""
    },
    {
      ""source"": ""d1110208133b4225a2ffa69f1f5f3418"",
      ""target"": ""f2a325eddd624412a702e04960338283""
    },
    {
      ""source"": ""88a0383223d948338bda9cba4b51aaeb"",
      ""target"": ""19388e9346294fbbaf17a2fd6b4d71af""
    },
    {
      ""source"": ""42b44f1271bb424c8ea4e6fb95c35538"",
      ""target"": ""3efb9481beac461693817c01a9cf2abd""
    },
    {
      ""source"": ""57f409ce4b094b578d85a4b9b0fe8493"",
      ""target"": ""42b44f1271bb424c8ea4e6fb95c35538""
    },
    {
      ""source"": ""57f409ce4b094b578d85a4b9b0fe8493"",
      ""target"": ""406fce3c69714585a879749a9a436109""
    },
    {
      ""source"": ""57f409ce4b094b578d85a4b9b0fe8493"",
      ""target"": ""ad706d71becb490094de1cb61bb8144f""
    },
    {
      ""source"": ""bca7328d9ecf41f390d735cb331d4a6d"",
      ""target"": ""a578e53007ea44b6bc3fc5d368dce254""
    },
    {
      ""source"": ""a584791866ee47acbd658e85ef88b402"",
      ""target"": ""7b8c82026519441f8043b19997cbba82""
    },
    {
      ""source"": ""a584791866ee47acbd658e85ef88b402"",
      ""target"": ""9b164686705048849bedde630fb475bd""
    },
    {
      ""source"": ""ad706d71becb490094de1cb61bb8144f"",
      ""target"": ""6c36cd281fc64b119422eaece9c6696e""
    },
    {
      ""source"": ""406fce3c69714585a879749a9a436109"",
      ""target"": ""3bd5c9374aae4c1bbf6cb63250b6983d""
    },
    {
      ""source"": ""8f6fd7a964614d1eb8418d9bc8e36ebe"",
      ""target"": ""416eab3d2b294ce390321129f41080a8""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
82121faef295492ca0d32af6d21d9b89,,,"{""time_stamp"": ""06-13-2024 at 09:31:33 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Create a new column 'rater_mean' which is the average of the 'rater1' and 'rater2' columns."", ""spec_name"": ""skin_tone_average"", ""trans_verb"": [""derive""], ""code"": ""df['rater_mean'] = (df['rater1'] + df['rater2']) / 2"", ""rationale"": ""To have a single skin tone rating variable based on the two rater columns."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""rater1"", ""rater2""], ""rater_mean""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
ea4945fa39fd4800ad2aaf19415cb342,,,"{""time_stamp"": ""05-31-2024 at 06:11:38 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Create a new binary column 'skin_tone_binary' where if the average of 'rater1' and 'rater2' is greater than 3, it is assigned 1 (dark skin tone), else 0 (light skin tone)."", ""spec_name"": ""skin_tone_average_binary"", ""trans_verb"": [""derive""], ""code"": ""df['skin_tone_binary'] = np.where(df['rater_mean'] > 3, 1, 0) "", ""rationale"": ""To categorize players into binary skin tone groups."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""rater_mean""], ""skin_tone_binary""]], ""branches"": [{""dependencies"": [""82121faef295492ca0d32af6d21d9b89""], ""condition"": """"}]}",,,,
52cf40d969fb44c6910a2f0df44b47a6,,,"{""time_stamp"": ""06-13-2024 at 09:32:17 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Calculate player age by subtracting the year part of the 'birthday' column from 2013. Create a new column 'age'."", ""spec_name"": ""calculate_age"", ""trans_verb"": [""derive""], ""code"": ""df['age'] = 2013 - pd.to_datetime(df['birthday']).dt.year"", ""rationale"": ""To include age as a control variable."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""birthday""], ""age""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
5a98a0a59d0f4726b566b57b1ac1e951,,,"{""time_stamp"": ""06-13-2024 at 09:32:40 PM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Calculate player BMI using the formula weight / (height/100)^2. Create a new column 'bmi'."", ""spec_name"": ""calculate_bmi"", ""trans_verb"": [""derive""], ""code"": ""df['bmi'] = df['weight'] / (df['height']/100)**2"", ""rationale"": ""To include BMI as a control variable."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""height"", ""weight""], ""bmi""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
d1110208133b4225a2ffa69f1f5f3418,,,"{""time_stamp"": ""05-31-2024 at 12:47:51 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Grand-mean center all predictors and covariates"", ""spec_name"": ""Center_columns"", ""trans_verb"": [""derive""], ""code"": ""cols_to_center = ['height', 'weight', 'games', 'age', \""victories\"", \""defeats\"", \""goals\"", 'meanIAT', 'meanExp']\ndf[['height_c', 'weight_c', 'games_c', 'age_c', \""victories_c\"", \""defeats_c\"", \""goals_c\"", 'meanIAT_c', 'meanExp_c']] = df[cols_to_center] - df[cols_to_center].mean()"", ""rationale"": ""To standardize variables for better interpretability in models."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""height""], ""height_c""], [[""weight""], ""weight_c""], [[""games""], ""games_c""], [[""age""], ""age_c""], [[""victories""], ""victories_c""], [[""defeats""], ""defeats_c""], [[""goals""], ""goals_c""]], ""branches"": [{""dependencies"": [""52cf40d969fb44c6910a2f0df44b47a6""], ""condition"": """"}]}",,,,
b0412a0acb1a4dadb224cc479bf9ba07,,,"{""time_stamp"": ""05-31-2024 at 06:00:11 PM"", ""tags"": [""T20""], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Recode the 'position' variable into 4 categories - 'goalkeeper', 'defender', 'midfielder', 'forward/winger'. Create a new column 'position_recoded'."", ""spec_name"": ""recode_position_1"", ""trans_verb"": [""derive""], ""code"": ""position_map = {\n        'Goalkeeper': 'goalkeeper',\n        'Left Fullback': 'defender', \n        'Right Fullback': 'defender',\n        'Center Back': 'defender',\n        'Defensive Midfielder': 'midfielder',\n        'Center Midfielder': 'midfielder', \n        'Attacking Midfielder': 'midfielder',\n        'Left Midfielder': 'midfielder',\n        'Right Midfielder': 'midfielder',\n        'Left Winger': 'forward/winger',\n        'Right Winger': 'forward/winger', \n        'Center Forward': 'forward/winger'\n    }\ndf['position_recoded_1'] = df['position'].map(position_map)"", ""rationale"": ""To reduce the number of position categories for modeling."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""position""], ""position_recoded_1""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}]}",,,,
5e616bd092f9477bb93555a685fcd522,,,"{""time_stamp"": ""05-30-2024 at 05:40:45 PM"", ""tags"": [""t1""], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Create squared values of the 'height', 'weight', and derived 'age' columns as additional control variables."", ""spec_name"": ""add_squared_control_variables"", ""trans_verb"": [""derive""], ""code"": ""df['height_squared'] = df['height'] ** 2\ndf['weight_squared'] = df['weight'] ** 2\ndf['age_squared'] = df['age'] ** 2"", ""rationale"": ""Add them as additional controls."", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""height""], ""height_squared""], [[""weight""], ""weight_squared""], [[""age""], ""age_squared""]], ""branches"": [{""dependencies"": [""52cf40d969fb44c6910a2f0df44b47a6""], ""condition"": """"}]}",,,,
88a0383223d948338bda9cba4b51aaeb,,,"{""time_stamp"": ""06-13-2024 at 09:33:17 PM"", ""tags"": [""t2""], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""Create multiple versions of the skin tone rating, including the minimum, maximum, mean, first rating, and second rating for each player."", ""spec_name"": ""skin_tone_min_max_recoded"", ""trans_verb"": [""derive""], ""code"": ""df['min_skin_tone'] = df[['rater1', 'rater2']].min(axis=1)\ndf['max_skin_tone'] = df[['rater1', 'rater2']].max(axis=1)\ndf['rater1_recoded'] = df['rater1'] - 1\ndf['rater2_recoded'] = df['rater2'] - 1"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""rater1"", ""rater2""], ""min_skin_tone""], [[""rater1"", ""rater2""], ""max_skin_tone""], [[""rater1""], ""rater1_recoded""], [[""rater2""], ""rater2_recoded""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
