spec_id,dependency_graph,conceptual_spec_json,transform_spec_json,model_spec_json,tisane_spec_json,annotate_cvar_spec_json,annotate_transform_spec_json
65f25132da794e2ab12132d7b02e63ec,"{
  ""directed"": true,
  ""multigraph"": false,
  ""graph"": {},
  ""nodes"": [
    {
      ""id"": ""ROOT_SPEC_ID""
    },
    {
      ""id"": ""83f83e487a6e446292bd391851e735c4""
    },
    {
      ""id"": ""765007fc33fd4357ab4704bac920891e""
    },
    {
      ""id"": ""5020d39b13d744e5a0b313d35646b991""
    },
    {
      ""id"": ""30c4c604426f464cb84e97cd91f11cf0""
    },
    {
      ""id"": ""f3b0c13f06344151a5be3f7ee8cc450c""
    },
    {
      ""id"": ""b2cbcf48d6b34914ae7cc4568233350e""
    },
    {
      ""id"": ""5fe62d0ad2334302bcf8c28b34f706a4""
    },
    {
      ""id"": ""efe77d59abc243dd8ab40fb6bae94071""
    },
    {
      ""id"": ""68a8989b45d846edb2f02fdc108d23e9""
    },
    {
      ""id"": ""a96cbcc6fb6c43c5a4bb25eb07a92c5a""
    },
    {
      ""id"": ""e9f71f8d9a5d48c09d26c6474a54f93a""
    },
    {
      ""id"": ""191a9f0a73c04678a2f8a20377ab7371""
    },
    {
      ""id"": ""984e5a4820034c2699db9d92d6451054""
    },
    {
      ""id"": ""c45c416762294299b9400ffa35674d79""
    },
    {
      ""id"": ""e31cf29c9a8a46f19acffc22295f9a34""
    },
    {
      ""id"": ""dd9010573afe48f5989031413c536375""
    },
    {
      ""id"": ""97a75d657b65439ab464a0639cd7e969""
    },
    {
      ""id"": ""ff349dfa32f340a7905e632fc07311de""
    },
    {
      ""id"": ""79230c6c373a4d8fb1c2cd6e8476fd7f""
    },
    {
      ""id"": ""e8538fa12b6f4088bcf62c509ab9d193""
    },
    {
      ""id"": ""9aed5973bfba4934ad53d948d63438fa""
    },
    {
      ""id"": ""17907fa200b043bab0bfb2ef48a761db""
    },
    {
      ""id"": ""001cccd6a9044fe2be29ab38afd8f9a1""
    }
  ],
  ""links"": [
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""83f83e487a6e446292bd391851e735c4""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""765007fc33fd4357ab4704bac920891e""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""5020d39b13d744e5a0b313d35646b991""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""30c4c604426f464cb84e97cd91f11cf0""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""f3b0c13f06344151a5be3f7ee8cc450c""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""b2cbcf48d6b34914ae7cc4568233350e""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""5fe62d0ad2334302bcf8c28b34f706a4""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""efe77d59abc243dd8ab40fb6bae94071""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""68a8989b45d846edb2f02fdc108d23e9""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""a96cbcc6fb6c43c5a4bb25eb07a92c5a""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""e9f71f8d9a5d48c09d26c6474a54f93a""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""191a9f0a73c04678a2f8a20377ab7371""
    },
    {
      ""source"": ""ROOT_SPEC_ID"",
      ""target"": ""984e5a4820034c2699db9d92d6451054""
    },
    {
      ""source"": ""83f83e487a6e446292bd391851e735c4"",
      ""target"": ""dd9010573afe48f5989031413c536375""
    }
  ]
}",,,,,,
ROOT_SPEC_ID,,,"{""spec_name"": ""ROOT""}",,,,
83f83e487a6e446292bd391851e735c4,,,"{""time_stamp"": ""06-06-2024 at 05:55:11 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""indicator for male"", ""spec_name"": ""male"", ""trans_verb"": [""derive""], ""code"": ""df['male'] = (df['gender'] == 'male').astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""gender""], ""male""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
765007fc33fd4357ab4704bac920891e,,,"{""time_stamp"": ""06-06-2024 at 05:56:05 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""indicator for native"", ""spec_name"": ""native_speaker"", ""trans_verb"": [""derive""], ""code"": ""df['native_speaker'] = (df['native'] == 'yes').astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""native""], ""native_speaker""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
5020d39b13d744e5a0b313d35646b991,,,"{""time_stamp"": ""06-06-2024 at 05:56:59 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""indicator for tenure"", ""spec_name"": ""tenured_prof"", ""trans_verb"": [""derive""], ""code"": ""df['tenured_prof'] = (df['tenure'] == 'yes').astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""tenure""], ""tenured_prof""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
30c4c604426f464cb84e97cd91f11cf0,,,"{""time_stamp"": ""06-06-2024 at 05:57:52 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""indicator for upper"", ""spec_name"": ""upper_division"", ""trans_verb"": [""derive""], ""code"": ""df['upper_division'] = (df['division'] == 'upper').astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""division""], ""upper_division""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
f3b0c13f06344151a5be3f7ee8cc450c,,,"{""time_stamp"": ""06-06-2024 at 05:58:55 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""get the response rate of course evaluations"", ""spec_name"": ""eval_response_rate"", ""trans_verb"": [""derive""], ""code"": ""df['eval_response_rate'] = df['students'] / df['allstudents']"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""students"", ""allstudents""], ""eval_response_rate""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
b2cbcf48d6b34914ae7cc4568233350e,,,"{""time_stamp"": ""06-06-2024 at 06:01:03 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""facet allstudents into different class size buckets"", ""spec_name"": ""small_class"", ""trans_verb"": [""derive""], ""code"": ""df['small_class'] = (df['allstudents'] <= 30).astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""students""], ""small_class""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
5fe62d0ad2334302bcf8c28b34f706a4,,,"{""time_stamp"": ""06-06-2024 at 06:03:48 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""facet allstudents into different class size buckets"", ""spec_name"": ""medium_class"", ""trans_verb"": [""derive""], ""code"": ""df['medium_class'] = ((df['allstudents'] > 30) & (df['allstudents'] <= 60)).astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""allstudents""], ""medium_class""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
efe77d59abc243dd8ab40fb6bae94071,,,"{""time_stamp"": ""06-06-2024 at 06:05:29 AM"", ""tags"": [], ""read_only_tags"": [], ""is_negative"": false, ""specification"": ""facet allstudents into different class size buckets"", ""spec_name"": ""big_class"", ""trans_verb"": [""derive""], ""code"": ""df['big_class'] = ((df['allstudents'] > 60) & (df['allstudents'] <= 100)).astype(float)"", ""rationale"": """", ""conditions"": """", ""input_cols_to_output_col_mapping"": [[[""allstudents""], ""big_class""]], ""branches"": [{""dependencies"": [""ROOT_SPEC_ID""], ""condition"": """"}], ""annotator"": null}",,,,
